pair,comparison_id,average_distance,average_distance_xyz,left_thumb,right_thumb,left_index,right_index,left_middle,right_middle,left_ring,right_ring,left_pinky,right_pinky,left_wrist,right_wrist,left_right_thumb,left_right_index,left_right_middle,left_right_ring,left_right_pinky,left_right_wrist,right_left_thumb,right_left_index,right_left_middle,right_left_ring,right_left_pinky,right_left_wrist,left_thumb_xyz,right_thumb_xyz,left_index_xyz,right_index_xyz,left_middle_xyz,right_middle_xyz,left_ring_xyz,right_ring_xyz,left_pinky_xyz,right_pinky_xyz,left_wrist_xyz,right_wrist_xyz,left_right_thumb_xyz,left_right_index_xyz,left_right_middle_xyz,left_right_ring_xyz,left_right_pinky_xyz,left_right_wrist_xyz,right_left_thumb_xyz,right_left_index_xyz,right_left_middle_xyz,right_left_ring_xyz,right_left_pinky_xyz,right_left_wrist_xyz,referent,speaker_1,round_1,trial_1,director_1,target_1,accuracy_1,A_gesture_referent_1,B_gesture_referent_1,A_gesture_referent2_1,B_gesture_referent2_1,begin_time_1,end_time_1,duration_1,speaker_2,round_2,trial_2,director_2,target_2,accuracy_2,A_gesture_referent_2,B_gesture_referent_2,A_gesture_referent2_2,B_gesture_referent2_2,begin_time_2,end_time_2,duration_2,A_speech_1,B_speech_1,A_speech_eng_1,B_speech_eng_1,A_LH_gesture_referent_1,A_RH_gesture_referent_1,B_LH_gesture_referent_1,B_RH_gesture_referent_1,iconic_1,A_speech_2,B_speech_2,A_speech_eng_2,B_speech_eng_2,A_LH_gesture_referent_2,A_RH_gesture_referent_2,B_LH_gesture_referent_2,B_RH_gesture_referent_2,iconic_2,begin_time_1_adj,end_time_1_adj,duration_1_adj,begin_time_2_adj,end_time_2_adj,duration_2_adj,A_hands,B_hands,hands_dtw
001,1,0.08927219801442413,0.09176468818619998,0.03495746488477863,0.09676109730722757,0.020530885858034614,0.07977724862780591,0.03801256203188225,0.08574918671094706,0.054540972547944835,0.0823097145819336,0.07292943082826706,0.08028172928421043,0.23557735882811082,0.18983872468194682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03640685629622677,0.09758453488922159,0.021633423919168386,0.08085910629199354,0.040090449416427816,0.08660572775158834,0.05509591371062219,0.08460169261541561,0.07318714049388644,0.08516287161578716,0.24351021375523582,0.19643832747882609,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,09B,A,1.0,1_1,A,9.0,,09B,,,,23522,23862,340,B,2.0,2_2,B,9.0,,,09B,,,585720,586200,480,En dat is een soort van ja (staand) iets waar die op staat,,And that's kind of a yes (standing) something that it's standing on,,09B,09B,,,True,,En onderop staat die op een eh soort langwerpige balk.,,And at the bottom it's on an um kind of oblong bar.,,,09B,09B,True,23522.0,23862.0,340.0,585720.0,586200.0,480.0,both,both,both
001,2,0.1708782370813034,0.17348086616407293,0.25078609164266463,0.14650674811690895,0.10141724073657037,0.13878701952724534,0.12917954891179415,0.10332847781468113,0.10999892318309738,0.09930556757174581,0.09011824065413226,0.10325965304342803,0.24978672952804587,0.5280646042453274,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.25139308933908106,0.14703270321147932,0.10746449548885337,0.1399947964246938,0.13425727730716128,0.10476103461395754,0.11610290405857995,0.09985803472616467,0.09736856718941184,0.10341549401680357,0.25107487274079476,0.5290471248518941,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,09A,A,1.0,1_1,A,9.0,,09A,,,,28261,28921,660,B,2.0,2_2,B,9.0,,,09A,,,577893,578153,260,"Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit",,"Then it looks like it is being stirred, because there is a yes pin on it",,09A,09A,,,True,,En dan zo heb je de lepel in het glas en dan nog een eh uitsteeksel,,And then so you have the spoon in the glass and then another um protrusion,,,,09A,True,28261.0,28921.0,660.0,577858.0,578188.0,330.0,both,right,both
001,3,0.15447956010207908,0.1608728020520528,0.15661166712565883,0.08034556312654831,0.20266124541715852,0.05467641739479279,0.18221041480927885,0.12363055475751647,0.11839743535854803,0.14266068575654803,0.08618751363079402,0.14149756491561036,0.07350753340426383,0.49136812552823095,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.16019303756392939,0.08190755522314437,0.2069113405626112,0.06973109971418115,0.18777065348145422,0.12863176561929385,0.13047320281233815,0.14916122415706118,0.09996074154928439,0.14861674939736313,0.07546925799085565,0.49164699655311644,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06B,B,1.0,1_2,B,6.0,,,06B,,,62023,62423,400,A,1.0,1_2,B,6.0,,06B,,,,88685,89085,400,,Ehm het lijkt alsof die een arm heeft.,,Um it looks like that one has an arm.,,,,06B,True,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,06B-REP,06B-REP,,,True,62023.0,62423.0,400.0,88685.0,89085.0,400.0,both,right,both
001,4,0.15396452765825464,0.15834410250472647,0.19611460049005264,0.1781808704560603,0.05643171653675476,0.10936322156665002,0.07078293570893819,0.11571525287467507,0.07879027339220356,0.12865900436274266,0.07181264748673093,0.13913222366145417,0.2757507766667014,0.42684080869609187,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1970754975144548,0.17975668768474376,0.06678704623410672,0.11396452556725581,0.0779932921323487,0.11914679557671515,0.08595083670251118,0.13084178824395004,0.08123156992954941,0.1413031953426907,0.27718423175616647,0.42889376337222496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06D,B,1.0,1_2,B,6.0,,,06D,,,63661,63991,330,A,1.0,1_2,B,6.0,,06D,,,,79567,80047,480,,En in die arm zit een een eh langwerpige balk.,,And in that arm is a one um oblong bar.,,,,06D-REP,True,"Ehm ja, die z-zit hij door die arm heen?",,"Um yeah, that z-she's through that arm?",,06D,06D,,,True,63661.0,63991.0,330.0,79567.0,80047.0,480.0,both,right,both
001,5,0.41727975310239424,0.4223662684559219,nan,0.3699932479387255,nan,0.5702188039277047,nan,0.4969004510362902,nan,0.47388415746018725,nan,0.44180066251292854,nan,0.1508811957385291,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.37041185321496073,nan,0.5713621545405064,nan,0.4981559173556358,nan,0.47537946792337865,nan,0.4431205543210406,nan,0.17576766338000918,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06C,B,1.0,1_2,B,6.0,,,06C,,,67671,68071,400,A,2.0,2_9,A,6.0,,06C,,,,684606,685166,560,,En aan de voorkant van die balk zit een cirkel.,,And at the front of that beam is a circle.,,,,06C,True,Ehm dit is weer die ene met dat armpje met die met die (bout) erdoorheen en een cirkel aan de achterkant.,,Um this is the one again with that little arm with the one with the (bolt) through it and a circle on the back.,,,06C,,,True,67671.0,68071.0,400.0,684606.0,685166.0,560.0,right,right,right
001,6,0.17607198661287218,0.18411947809928692,0.1583665683064659,0.11370252379084546,0.14445000565879035,0.19644136972588677,0.13560189159473296,0.2509476967453041,0.06322139439775595,0.26588586496645933,0.03520520542094976,0.24616020900397603,0.12020320473413895,0.38267790500916066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1650364691137467,0.11533650547056339,0.15142988934007684,0.20111235458188095,0.14440043780586787,0.2549337776671319,0.08770689734578307,0.2705517592571035,0.06468279498190256,0.2494176012099188,0.12189090902514081,0.3829343413923265,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06B,A,1.0,1_2,B,6.0,,06B,,,,88685,89085,400,B,3.0,3_12,B,6.0,,,06B,,,865657,866957,1300,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,06B-REP,06B-REP,,,True,,"Dit is degene eh die de balk vast heeft,",,"This is the one eh holding the beam,",,,,06B,True,88685.0,89085.0,400.0,865657.0,866957.0,1300.0,both,right,both
001,7,0.20058183884483216,0.2038078392964836,0.3328978206930523,0.15664912434900266,0.15822241705324547,0.1695271575077435,0.16493669860450616,0.18079148814788715,0.1702706161836369,0.1576707649845356,0.16518032394396906,0.13521828704008915,0.44633763175138624,0.1692797358789316,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.33313625165579214,0.15765928937860846,0.16072018708114275,0.171361051315976,0.16985064710471537,0.1819480412074852,0.17742574418522375,0.15959287471633338,0.17320215227599575,0.136667184359055,0.44905464314606647,0.17507600513140884,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15C,A,1.0,1_3,A,15.0,,15C,,,,109461,110021,560,B,4.0,4_2,B,15.0,,,15C,,,923261,923541,280,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit",,"Um it looks like it floats, because there is, say, a plate on half of that thingy",,15C-REP,15C-REP,,,True,,Ik heb met de glijbaan die drijft.,,I have with the slide that floats.,,,,15C,True,109461.0,110021.0,560.0,923236.0,923566.0,330.0,both,right,both
001,8,0.17729465204010048,0.18410774073469469,0.05779951442247671,0.1267524002345329,0.12056138472709418,0.06617249580087613,0.15300260102987365,0.06101765362019216,0.17117787426660874,0.06853355815317362,0.17060455670947405,0.06659437788854408,0.3760126376131754,0.6893067700151839,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08998790069716832,0.12744557249982144,0.14355783943994047,0.06778220958504334,0.16180120127510209,0.0616121352716563,0.17587686933697108,0.06902243581500783,0.17643891453977625,0.06690104536589217,0.3765139228675661,0.6923528421223906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14D,B,1.0,1_4,B,14.0,,,14D,,,131201,131541,340,A,1.0,1_4,B,14.0,,14D,,14B,,142326,143486,1160,,Een soort cilinders met een klein hoekje aan de linkerkant.,,Sort of cylinders with a small corner on the left side.,,,14D,,True,"Ja, ja, ja en die cilinders hebben zo een soort van kronkeltje lijkt het",,"Yes, yes, yes and those cylinders have this kind of twist it seems",,14B,14D,,,True,131201.0,131541.0,340.0,142326.0,143486.0,1160.0,both,left,both
001,9,0.25718959251707973,0.2591127503028864,0.1560600616982809,0.4481888847910669,0.1612290972060734,0.36837265984481743,0.17912805520806396,0.23790639619556325,0.2476340234256419,0.14751960658461344,0.3574377409329242,0.10579738002225073,0.44164857663149415,0.5439518842069322,0.27368708876081893,0.42232219124260706,0.4199222493617232,0.38295005903055546,0.3316614298658539,1.067885418433435,0.31411227210681836,0.39025611379677966,0.39233590393689416,0.3621321191708808,0.3074477489396633,1.072726998017069,0.15766552836512396,0.4488254040540528,0.16495118467095085,0.36852708332856177,0.1793271826460775,0.2381885103740778,0.24800525156651215,0.14828977526011672,0.35767276143576743,0.10699772205801711,0.4470545931328867,0.54558192232285,0.2750199173326162,0.42247090087531425,0.4200366488753242,0.38315175967751897,0.33183271783733675,1.068039208613425,0.31565375024159203,0.39187135395848577,0.39266382586835624,0.3622364819156265,0.3076789832134948,1.0728636753839307,14C,B,1.0,1_4,B,14.0,,,14C,,,133136,134256,1120,A,2.0,2_1,A,14.0,,14C,,,,548343,548643,300,,En één lange ehm rechtopstaande balk voorop.,,And one long um upright beam in front.,,,,14C-REP,True,"en een ehm eh rechthoekige, ja, rechthoeke, rek- rechthoekige balk",,"and a um um rectangular, yes, rectangular, stretch rectangular beam",,14C,,,,True,133136.0,134256.0,1120.0,548328.0,548658.0,330.0,left,right,left_right
001,10,0.20580389914962563,0.2075834878341511,0.09695166326446382,0.21654742042164168,0.19088114491931446,0.2344200736349807,0.20363398711601557,0.2789751660957607,0.19258495208917373,0.29757405900213335,0.16911553583454672,0.26864406086770387,0.23464287281978638,0.08567585372998669,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10272294312795521,0.21680289854477755,0.19146088962745933,0.23487716191919006,0.20383307957856778,0.27935790620540024,0.19271725711743234,0.2978989065587458,0.16957574865897235,0.26919312801090567,0.23874203923001258,0.09381989543039396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13D,A,1.0,1_5,A,13.0,,13D,,,,151001,151621,620,B,2.0,2_10,B,13.0,,,13D,,,694535,694915,380,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,13D,13D,,,True,,Eh dit is degene die eh op het plateautje staat,,Um this is the one that is eh on the tray,,,13D,13D,True,151001.0,151621.0,620.0,694535.0,694915.0,380.0,both,both,both
