pair,comparison_id,hands,average_size,size_left,size_right
001,7,both,0.06499507149955827,0.0782819072162427,0.05170823578287385
001,8,right,0.1717454416973893,0.07997604180996831,0.1717454416973893
001,9,both,0.3582032355320576,0.3520072298396255,0.36439924122448963
001,10,both,0.2067047874009731,0.20261671861807487,0.2107928561838713
001,12,right,0.20083409447527525,0.031417559054367585,0.20083409447527525
001,13,right,0.1616176611668507,0.03999677642753198,0.1616176611668507
001,14,right,0.17205815464139895,0.07066787646226441,0.17205815464139895
001,15,right,0.21798696076070148,0.04457391554771909,0.21798696076070148
001,16,right,0.1948153048463544,0.05083744320465975,0.1948153048463544
001,17,both,0.459920804657287,0.6646533396977572,0.2551882696168169
001,18,both,0.06434479251490827,0.048346218226993594,0.08034336680282293
001,19,both,0.08049822999228956,0.09220119013330215,0.06879526985127696
001,20,both,0.47133963138158885,0.4966977796945311,0.4459814830686466
001,21,both,0.2445687503623564,0.2487526199120977,0.24038488081261508
001,22,both,0.19043083628433483,0.1964045156253727,0.18445715694329692
001,23,left,0.7820251927418136,0.7820251927418136,0.19658781171507594
001,24,left,0.27860614028544683,0.27860614028544683,0.08406492167515794
001,25,both,0.17141193493447354,0.15997140859385708,0.18285246127509
001,26,right,0.6600867372565085,0.12413097018124324,0.6600867372565085
001,27,left,0.17307206795854496,0.17307206795854496,0.2019080715588896
001,28,right,0.6281592193784763,0.08679006770557154,0.6281592193784763
001,30,both,0.08480000479647916,0.06735864798140818,0.10224136161155013
001,31,both,0.34510271440361384,0.37644096754033674,0.313764461266891
001,33,both,0.42890824154111407,0.4184650107608622,0.4393514723213659
001,34,right,0.30719768080282056,0.045876294155333154,0.30719768080282056
001,35,right,0.39768573669367957,0.2767279665602492,0.39768573669367957
001,37,both,0.3017803856992514,0.33941227644466854,0.2641484949538343
001,38,both,0.18029807312525448,0.16244057786902935,0.19815556838147957
001,40,both,0.21697315415342872,0.24233481383182998,0.19161149447502743
001,41,both,0.1238976087914643,0.13392721918154088,0.11386799840138774
001,42,right,0.09043650727972835,0.09176071863003012,0.09043650727972835
001,44,left,0.08568206619049043,0.08568206619049043,0.09097185710241719
001,46,both,0.2680311944981802,0.3242268074874303,0.21183558150893006
001,48,both,0.35343147567126365,0.36537674541736004,0.34148620592516726
001,49,both,0.10363100855870495,0.11516849806828118,0.09209351904912873
001,50,both,0.1882855298756954,0.16751910314399684,0.20905195660739398
001,51,left,0.5512094046903872,0.5512094046903872,0.02917407511117991
001,52,right,0.21833158735016822,0.04191830907931268,0.21833158735016822
001,53,both,0.10509985290344558,0.09872959419685144,0.11147011161003971
001,54,both,0.07706613407925804,0.09073791716382122,0.06339435099469486
001,55,both,0.08786999854451277,0.07311133833384267,0.10262865875518289
001,57,right,0.4412881878563829,0.2427017478576518,0.4412881878563829
001,58,both,0.3219319268123637,0.30811843643805364,0.3357454171866737
001,62,both,0.15019989336078207,0.17412993462741025,0.1262698520941539
001,63,right,0.3853207176567466,0.0660153070035042,0.3853207176567466
001,65,left,0.6759869476309901,0.6759869476309901,0.13745965381161576
001,66,both,0.08929891150563313,0.06641994817931844,0.1121778748319478
001,69,both,0.21314438509879505,0.23657127309082399,0.1897174971067661
001,70,both,0.30759548351976185,0.4092856151967974,0.20590535184272626
001,71,right,0.384970848716878,0.04814532859329468,0.384970848716878
001,72,right,0.24774375589628103,0.04283502195920153,0.24774375589628103
001,73,both,0.19111801706225584,0.19160720062984646,0.19062883349466525
001,74,right,0.09541846288237138,0.033418846060615306,0.09541846288237138
001,75,right,0.15787556594138452,0.03693580250390126,0.15787556594138452
