pair,round,trial,gesturer,target,accuracy,begin_time,end_time,duration,iconic,deictic,representational
001,1.0,1_1,A,9.0,,5585,5825,240,0,0,0
001,1.0,1_1,A,9.0,,7344,7824,480,0,0,0
001,1.0,1_1,A,9.0,,7648,8048,400,0,0,0
001,1.0,1_1,A,9.0,,8281,9021,740,0,1,1
001,1.0,1_1,A,9.0,,8422,9422,1000,0,1,1
001,1.0,1_1,A,9.0,,12739,13039,300,1,0,1
001,1.0,1_1,A,9.0,,13333,13573,240,1,0,1
001,1.0,1_1,A,9.0,,13977,14297,320,1,0,1
001,1.0,1_1,A,9.0,,14337,14617,280,1,0,1
001,1.0,1_1,A,9.0,,16140,16440,300,1,0,1
001,1.0,1_1,A,9.0,,17658,17918,260,0,0,0
001,1.0,1_1,A,9.0,,19680,20180,500,0,0,0
001,1.0,1_1,A,9.0,,21851,22161,310,1,0,1
001,1.0,1_1,A,9.0,,22328,22531,203,0,0,0
001,1.0,1_1,A,9.0,,22781,22968,187,0,0,0
001,1.0,1_1,A,9.0,,23522,23862,340,1,0,1
001,1.0,1_1,A,9.0,,25202,26042,840,1,0,1
001,1.0,1_1,A,9.0,,28261,28921,660,1,0,1
001,1.0,1_1,A,9.0,,30615,30875,260,0,0,0
001,1.0,1_1,A,9.0,,31719,31859,140,0,1,1
001,1.0,1_1,A,9.0,,32028,32168,140,0,1,1
001,1.0,1_1,A,9.0,,32588,33008,420,1,0,1
001,1.0,1_1,A,9.0,,35942,36182,240,1,0,1
001,1.0,1_1,B,9.0,,46627,46847,220,0,1,1
001,1.0,1_1,A,9.0,,54105,54305,200,0,0,0
001,1.0,1_2,B,6.0,,58497,58697,200,0,1,1
001,1.0,1_2,B,6.0,,62023,62423,400,1,0,1
001,1.0,1_2,B,6.0,,63661,63991,330,1,0,1
001,1.0,1_2,B,6.0,,65201,65770,569,1,0,1
001,1.0,1_2,B,6.0,,67671,68071,400,1,0,1
001,1.0,1_2,B,6.0,,70353,70533,180,0,0,0
001,1.0,1_2,B,6.0,,71141,71961,820,1,0,1
001,1.0,1_2,A,6.0,,79567,80047,480,1,0,1
001,1.0,1_2,A,6.0,,87949,88409,460,0,0,0
001,1.0,1_2,A,6.0,,88685,89085,400,1,0,1
001,1.0,1_2,A,6.0,,89617,90110,493,1,0,1
001,1.0,1_3,A,15.0,,104233,104673,440,0,0,0
001,1.0,1_3,A,15.0,,107604,108144,540,1,0,1
001,1.0,1_3,A,15.0,,108801,109321,520,0,0,0
001,1.0,1_3,A,15.0,,109461,110021,560,1,0,1
001,1.0,1_3,A,15.0,,110628,111168,540,1,0,1
001,1.0,1_3,A,15.0,,113461,114067,606,1,0,1
001,1.0,1_3,A,15.0,,115447,116147,700,1,0,1
001,1.0,1_3,A,15.0,,120175,120615,440,1,1,1
001,1.0,1_4,B,14.0,,129795,130415,620,1,0,1
001,1.0,1_4,B,14.0,,131201,131541,340,1,1,1
001,1.0,1_4,B,14.0,,133136,134256,1120,1,0,1
001,1.0,1_4,B,14.0,,136190,136510,320,1,0,1
001,1.0,1_4,B,14.0,,137731,138071,340,0,1,1
001,1.0,1_4,B,14.0,,138517,139057,540,0,0,0
001,1.0,1_4,A,14.0,,142326,143486,1160,1,0,1
001,1.0,1_4,A,14.0,,144705,145205,500,0,0,0
001,1.0,1_5,A,13.0,,151001,151621,620,1,0,1
001,1.0,1_5,A,13.0,,152833,153153,320,1,0,1
001,1.0,1_5,A,13.0,,153668,154228,560,1,0,1
001,1.0,1_6,B,16.0,,163365,163625,260,0,1,1
001,1.0,1_6,B,16.0,,165805,166685,880,1,0,1
001,1.0,1_6,B,16.0,,168819,169239,420,0,1,1
001,1.0,1_6,B,16.0,,170120,170980,860,0,0,0
001,1.0,1_6,B,16.0,,172526,172986,460,0,1,1
001,1.0,1_6,B,16.0,,177641,177921,280,0,1,1
001,1.0,1_6,B,16.0,,178501,179161,660,1,0,1
001,1.0,1_7,A,11.0,,189929,190149,220,0,0,0
001,1.0,1_7,A,11.0,,191193,191333,140,1,1,1
001,1.0,1_7,A,11.0,,197354,197794,440,0,0,0
001,1.0,1_7,A,11.0,,200041,200687,646,1,0,1
001,1.0,1_7,A,11.0,,201407,201767,360,1,0,1
001,1.0,1_7,A,11.0,,203215,203555,340,0,1,1
001,1.0,1_7,A,11.0,,203938,204098,160,1,0,1
001,1.0,1_7,A,11.0,,205128,205228,100,0,0,0
001,1.0,1_7,A,11.0,,206208,206728,520,1,0,1
001,1.0,1_7,A,11.0,,207529,207969,440,1,0,1
001,1.0,1_7,A,11.0,,208938,209298,360,1,0,1
001,1.0,1_7,A,11.0,,212813,212993,180,0,1,1
001,1.0,1_7,A,11.0,,219962,220142,180,0,1,1
001,1.0,1_7,A,11.0,,220953,221193,240,1,0,1
001,1.0,1_7,A,11.0,,221844,222544,700,1,0,1
001,1.0,1_7,A,11.0,,222244,222544,300,1,0,1
001,1.0,1_7,A,11.0,,224241,224401,160,0,1,1
001,1.0,1_7,A,11.0,,224951,225669,718,1,0,1
001,1.0,1_7,A,11.0,,227061,227381,320,0,0,0
001,1.0,1_7,A,11.0,,230042,230302,260,0,1,1
001,1.0,1_7,A,11.0,,230891,231191,300,0,1,1
001,1.0,1_7,A,11.0,,233177,233451,274,1,0,1
001,1.0,1_7,A,11.0,,233771,234397,626,1,0,1
001,1.0,1_7,A,11.0,,237024,237104,80,0,1,1
001,1.0,1_7,A,11.0,,239430,239850,420,0,1,1
001,1.0,1_7,A,11.0,,244010,244610,600,1,0,1
001,1.0,1_7,A,11.0,,245057,245417,360,1,0,1
001,1.0,1_7,A,11.0,,246132,246572,440,1,0,1
001,1.0,1_7,B,11.0,,249026,249126,100,0,0,0
001,1.0,1_7,B,11.0,,251028,251588,560,1,0,1
001,1.0,1_8,B,8.0,,263161,263521,360,0,0,0
001,1.0,1_8,B,8.0,,264821,265301,480,1,0,1
001,1.0,1_8,B,8.0,,266379,266759,380,1,0,1
001,1.0,1_8,B,8.0,,268281,268941,660,1,0,1
001,1.0,1_8,B,8.0,,276021,276221,200,1,0,1
001,1.0,1_8,B,8.0,,279400,280260,860,1,0,1
001,1.0,1_8,B,8.0,,282201,282501,300,0,0,0
001,1.0,1_8,A,8.0,,290081,290601,520,1,0,1
001,1.0,1_8,A,8.0,,292501,292781,280,0,0,0
001,1.0,1_9,A,3.0,,299479,299759,280,1,0,1
001,1.0,1_9,A,3.0,,301595,301895,300,1,0,1
001,1.0,1_9,A,3.0,,302243,302443,200,1,0,1
001,1.0,1_9,A,3.0,,303135,304188,1053,1,0,1
001,1.0,1_9,B,3.0,,308961,310221,1260,1,0,1
001,1.0,1_9,A,3.0,,311466,311826,360,0,0,0
001,1.0,1_10,B,10.0,,319041,319281,240,1,0,1
001,1.0,1_10,B,10.0,,319438,319958,520,1,0,1
001,1.0,1_10,B,10.0,,324173,324433,260,0,1,1
001,1.0,1_11,A,5.0,,333643,334003,360,1,0,1
001,1.0,1_11,A,5.0,,337323,337643,320,1,0,1
001,1.0,1_11,A,5.0,,339345,339665,320,1,0,1
001,1.0,1_11,A,5.0,,341820,342501,681,1,0,1
001,1.0,1_11,A,5.0,,343321,344281,960,1,1,1
001,1.0,1_11,B,5.0,,368897,369517,620,1,0,1
001,1.0,1_11,A,5.0,,372345,372605,260,0,0,0
001,1.0,1_11,B,5.0,,373611,373891,280,0,0,0
001,1.0,1_11,B,5.0,,376323,377043,720,1,0,1
001,1.0,1_11,A,5.0,,379595,380075,480,1,0,1
001,1.0,1_11,A,5.0,,382001,382261,260,0,0,0
001,1.0,1_12,B,4.0,,391959,392379,420,1,0,1
001,1.0,1_12,B,4.0,,392975,393675,700,1,0,1
001,1.0,1_12,B,4.0,,394656,395356,700,1,0,1
001,1.0,1_12,B,4.0,,396867,397167,300,0,1,1
001,1.0,1_12,B,4.0,,397744,398481,737,1,0,1
001,1.0,1_12,B,4.0,,400066,400486,420,0,0,0
001,1.0,1_12,B,4.0,,405366,406711,1345,1,0,1
001,1.0,1_12,A,4.0,,411515,411795,280,1,0,1
001,1.0,1_13,A,7.0,,418326,418606,280,0,0,0
001,1.0,1_13,A,7.0,,420881,422556,1675,1,0,1
001,1.0,1_13,A,7.0,,426761,427641,880,1,0,1
001,1.0,1_13,A,7.0,,429070,429850,780,0,1,1
001,1.0,1_13,B,7.0,,437443,438051,608,1,0,1
001,1.0,1_14,B,2.0,,449178,449578,400,1,0,1
