pair,comparison_id,average_size,size_A,size_B,left_size_A,right_size_A,left_size_B,right_size_B
001,1,0.25549692529033613,0.1279933388519995,0.3830005117286728,0.1339748681515197,0.12201180955247931,0.4282308388648883,0.33777018459245733
001,2,0.6227666904886213,1.0418511684476712,0.20368221252957142,0.9785568853179729,1.1051454515773695,0.035769737567629474,0.37159468749151336
001,3,0.1755991625271988,0.1127297414607942,0.23846858359360337,0.09552678556133497,0.12993269736025342,0.08070803883112693,0.3962291283560798
001,4,0.5731221187822734,0.9480587799361062,0.19818545762844061,1.4708733067409245,0.425244253131288,0.03188806867926497,0.36448284657761626
001,5,0.5450763234016479,0.7599652818904212,0.33018736491287465,1.0184403841331298,0.5014901796477128,0.05145918529882828,0.608915544526921
001,6,0.27318437069207446,0.1127297414607942,0.43363899992335475,0.09552678556133497,0.12993269736025342,0.42549113156462104,0.4417868682820885
001,7,0.4391988696816436,0.4695230324188169,0.40887470694447037,0.4848182630034993,0.4542278018341345,0.14779660227065436,0.6699528116182863
001,8,0.4277101010527444,0.22232914294577777,0.633091059159711,0.23501925255424394,0.20963903333731157,0.9043556089566218,0.36182650936280003
001,9,0.5663952103142289,0.2098995491660062,0.9228908714624515,0.3313770691449997,0.08842202918701268,0.12551372533087363,1.7202680175940295
001,10,0.5208881059801771,0.621295197429736,0.42048101453061804,0.6644306596938606,0.5781597351656116,0.45382240140304525,0.3871396276581908
001,11,0.6066360517519515,1.0361028898817601,0.17716921362214277,1.2607551853159478,0.8114505944475726,0.17857256658694304,0.17576586065734254
001,12,0.5672606190535101,0.6740230998533219,0.46049813825369845,0.8050522015388122,0.5429939981678314,0.18402721834732383,0.7369690581600731
001,13,0.7742690169597863,0.9928123828032532,0.5557256511163196,1.7963414712120254,0.18928329439448113,0.3075489677558735,0.8039023344767657
001,14,0.7539148807944431,1.194782896290302,0.3130468652985842,2.2488669813705187,0.14069881121008554,0.03292601026275084,0.5931677203344176
001,15,0.6122197949755612,0.8524247684263658,0.37201482152475673,0.8752268751269914,0.8296226617257403,0.42786872014897326,0.31616092290054026
001,16,0.48610055039710465,0.7992944922671961,0.17290660852701328,0.9708823681491945,0.6277066163851978,0.14870783665486734,0.19710538039915923
001,17,0.4290773502490156,0.6516701521518338,0.2064845483461975,1.1496154939082357,0.15372481039543176,0.3088234408492856,0.10414565584310945
001,18,0.5693261554431768,0.16738777310692837,0.9712645377794251,0.19668373784904264,0.13809180836481413,0.6574095426597092,1.2851195328991412
001,19,0.9469411265243816,1.4918778683170637,0.4020043847316994,2.205980142206641,0.7777755944274862,0.35923950548676326,0.4447692639766355
001,20,0.9469411265243816,1.4918778683170637,0.4020043847316994,2.205980142206641,0.7777755944274862,0.35923950548676326,0.4447692639766355
001,21,0.5953253648013281,0.7651990299965845,0.4254516996060719,1.058934346073813,0.4714637139193561,0.16800601816750288,0.6828973810446408
001,22,0.3733521500465913,0.39503821337215017,0.35166608672103244,0.7252421516712227,0.06483427507307758,0.17095675377249867,0.5323754196695663
001,23,0.37428100914708623,0.5782614629138209,0.1703005553803516,0.7007444316579255,0.4557784941697162,0.1696784844802734,0.17092262628042984
001,24,0.7349448448097442,1.2647949301929218,0.20509475942656652,2.419519208870282,0.11007065151556143,0.12515420169927405,0.285035317153859
001,25,0.50485060778088,0.734012847882612,0.27568836767914795,0.8973302651224085,0.5706954306428155,0.30137157439946455,0.2500051609588314
001,26,0.8855089209937117,0.5008710364516078,1.2701468055358156,0.4191414518717247,0.5826006210314909,0.16880715743716468,2.3714864536344664
001,27,0.756256805150398,1.0827939571031953,0.42971965319760075,1.3703574218479417,0.7952304923584489,0.5452386229799788,0.3142006834152226
001,28,0.756256805150398,1.0827939571031953,0.42971965319760075,1.3703574218479417,0.7952304923584489,0.5452386229799788,0.3142006834152226
001,29,0.3899925388158789,0.5763028651021864,0.20368221252957142,0.8372317281952069,0.3153740020091661,0.035769737567629474,0.37159468749151336
001,30,0.6214427023440869,0.9393390528441037,0.3035463518440703,1.2862508802068493,0.5924272254813582,0.1493760351755581,0.45771666851258247
001,31,0.4472305817451604,0.6740230998533219,0.22043806363699892,0.8050522015388122,0.5429939981678314,0.17076913170961464,0.2701069955643832
