pair,int_pair,label,length,target,n_fribbles,speaker,freq,turn,round,trial,from_ts,to_ts,start,end,duration,pos_seq,shared_expression,n_shared_expressions,turn_id
1,1,het bollet,2,6,1,A,2,46,1,1_2,87.341,90.491,87.341,90.491,3.1500000000000057,DET NOUN,['het bollet'],1,47
1,1,het bollet,2,6,1,B,2,47,1,1_2,90.231,90.981,90.231,90.981,0.75,DET NOUN,['het bollet'],1,48
1,1,rood,1,9,1,B,3,28,1,1_1,47.981,49.555,47.981,49.555,1.573999999999998,ADJ,"['een rood', 'rood']",2,29
1,1,rood,1,9,1,A,3,29,1,1_1,49.391,53.081,49.391,53.081,3.690000000000005,ADJ,"['een rood', 'rood']",2,30
1,1,rood,1,9,1,B,3,30,1,1_1,52.439,53.641,52.439,53.641,1.2019999999999982,ADJ,"['een rood', 'rood']",2,31
1,1,plateau,1,13,1,A,4,321,3,3_9,840.567,841.681,840.567,841.681,1.1140000000000327,NOUN,['plateau'],1,325
1,1,plateau,1,13,1,B,4,322,3,3_9,843.141,845.261,843.141,845.261,2.1200000000000045,NOUN,['plateau'],1,326
1,1,plateau,1,13,1,B,4,359,4,4_6,955.063,960.831,955.063,960.831,5.768000000000029,NOUN,['plateau'],1,363
1,1,plateau,1,13,1,A,4,412,5,5_7,1108.887,1111.555,1108.887,1111.555,2.66800000000012,NOUN,['plateau'],1,416
1,1,rui,1,11,1,A,2,109,1,1_7,238.935,247.021,238.935,247.021,8.085999999999984,NOUN,['rui'],1,110
1,1,rui,1,11,1,B,2,112,1,1_7,248.521,252.621,248.521,252.621,4.100000000000023,NOUN,['rui'],1,113
1,1,cilinder,1,14,1,B,2,70,1,1_4,129.681,132.161,129.681,132.161,2.4799999999999898,NOUN,['cilinder'],1,71
1,1,cilinder,1,14,1,A,2,73,1,1_4,140.931,143.921,140.931,143.921,2.9899999999999807,NOUN,['cilinder'],1,74
1,1,blok,1,3,1,A,2,128,1,1_9,301.531,305.001,301.531,305.001,3.4699999999999704,NOUN,['blok'],1,130
1,1,blok,1,3,1,B,2,132,1,1_9,307.991,310.761,307.991,310.761,2.7700000000000387,NOUN,['blok'],1,134
1,1,arm,1,6,3,B,9,37,1,1_2,60.421,63.101,60.421,63.101,2.6799999999999997,NOUN,"['arm', 'die arm']",2,38
1,1,arm,1,6,3,B,9,38,1,1_2,63.361,67.161,63.361,67.161,3.8000000000000043,NOUN,"['arm', 'die arm']",2,39
1,1,arm,1,6,3,A,9,41,1,1_2,77.561,80.711,77.561,80.711,3.1499999999999915,NOUN,"['arm', 'die arm']",2,42
1,1,arm,1,14,3,B,9,69,1,1_4,127.991,129.501,127.991,129.501,1.5100000000000051,NOUN,"['arm', 'die arm']",2,70
1,1,arm,1,8,3,B,9,120,1,1_8,275.361,278.881,275.361,278.881,3.519999999999982,NOUN,"['arm', 'die arm']",2,121
1,1,arm,1,14,3,A,9,226,2,2_1,557.721,559.381,557.721,559.381,1.6599999999999682,NOUN,"['arm', 'die arm']",2,230
1,1,arm,1,6,3,A,9,352,4,4_3,929.847,935.841,929.847,935.841,5.994000000000028,NOUN,"['arm', 'die arm']",2,356
1,1,arm,1,14,3,A,9,378,4,4_11,1013.621,1017.281,1013.621,1017.281,3.659999999999968,NOUN,"['arm', 'die arm']",2,382
1,1,arm,1,8,3,A,9,383,4,4_13,1030.679,1037.921,1030.679,1037.921,7.241999999999962,NOUN,"['arm', 'die arm']",2,387
1,1,ruit,1,8,1,B,5,117,1,1_8,257.661,263.781,257.661,263.781,6.1200000000000045,NOUN,"['zijn een ruit', 'een ruit', 'ruit']",3,118
1,1,ruit,1,8,1,A,5,123,1,1_8,287.639,290.707,287.639,290.707,3.0679999999999836,NOUN,"['zijn een ruit', 'een ruit', 'ruit']",3,124
1,1,ruit,1,8,1,A,5,277,2,2_13,720.941,725.581,720.941,725.581,4.639999999999986,NOUN,"['zijn een ruit', 'een ruit', 'ruit']",3,281
1,1,ruit,1,8,1,B,5,338,3,3_14,886.381,890.461,886.381,890.461,4.080000000000041,NOUN,"['zijn een ruit', 'een ruit', 'ruit']",3,342
1,1,ruit,1,8,1,B,5,419,5,5_10,1131.991,1135.181,1131.991,1135.181,3.1900000000000546,NOUN,"['zijn een ruit', 'een ruit', 'ruit']",3,423
1,1,satelliet,1,1,2,A,10,199,1,1_15,474.011,477.641,474.011,477.641,3.6299999999999955,NOUN,"['satelliet', 'satelliet met de', 'satelliet met']",3,203
1,1,satelliet,1,12,2,B,10,209,1,1_16,504.901,507.571,504.901,507.571,2.670000000000016,NOUN,"['satelliet', 'satelliet met de', 'satelliet met']",3,213
1,1,satelliet,1,12,2,A,10,218,1,1_16,529.161,530.581,529.161,530.581,1.4200000000000728,NOUN,"['satelliet', 'satelliet met de', 'satelliet met']",3,222
1,1,satelliet,1,12,2,A,10,256,2,2_7,655.479,656.941,655.479,656.941,1.461999999999989,NOUN,"['satelliet', 'satelliet met de', 'satelliet met']",3,260
1,1,satelliet,1,12,2,B,10,303,3,3_4,786.935,789.801,786.935,789.801,2.866000000000099,NOUN,"['satelliet', 'satelliet met de', 'satelliet met']",3,307
1,1,satelliet,1,1,2,A,10,305,3,3_5,793.719,796.541,793.719,796.541,2.8220000000000027,NOUN,"['satelliet', 'satelliet met de', 'satelliet met']",3,309
1,1,satelliet,1,1,2,B,10,354,4,4_4,938.775,941.461,938.775,941.461,2.6860000000000355,NOUN,"['satelliet', 'satelliet met de', 'satelliet met']",3,358
1,1,satelliet,1,12,2,A,10,364,4,4_7,968.247,969.521,968.247,969.521,1.274000000000001,NOUN,"['satelliet', 'satelliet met de', 'satelliet met']",3,368
1,1,satelliet,1,1,2,A,10,416,5,5_9,1122.935,1125.161,1122.935,1125.161,2.2260000000001128,NOUN,"['satelliet', 'satelliet met de', 'satelliet met']",3,420
1,1,satelliet,1,1,2,B,10,458,6,6_12,1252.375,1254.441,1252.375,1254.441,2.066000000000031,NOUN,"['satelliet', 'satelliet met de', 'satelliet met']",3,462
1,1,rechthoekig,1,5,1,A,3,142,1,1_11,336.741,345.201,336.741,345.201,8.460000000000036,ADJ,['rechthoekig'],1,145
1,1,rechthoekig,1,5,1,B,3,155,1,1_11,367.741,371.221,367.741,371.221,3.480000000000018,ADJ,['rechthoekig'],1,158
1,1,rechthoekig,1,5,1,B,3,286,2,2_16,747.481,752.121,747.481,752.121,4.639999999999986,ADJ,['rechthoekig'],1,290
1,1,cirkel,1,9,2,A,6,14,1,1_1,30.011,33.511,30.011,33.511,3.5000000000000036,NOUN,"['cirkel aan', 'cirkel', 'een cirkel']",3,15
1,1,cirkel,1,6,2,B,6,39,1,1_2,67.421,69.651,67.421,69.651,2.2299999999999898,NOUN,"['cirkel aan', 'cirkel', 'een cirkel']",3,40
1,1,cirkel,1,6,2,B,6,48,1,1_2,91.081,95.181,91.081,95.181,4.099999999999994,NOUN,"['cirkel aan', 'cirkel', 'een cirkel']",3,49
1,1,cirkel,1,9,2,B,6,234,2,2_2,571.191,574.441,571.191,574.441,3.25,NOUN,"['cirkel aan', 'cirkel', 'een cirkel']",3,238
