label,length,fribbles,target_fribbles,#fribbles,fribbles entropy,speakers,freq,free. freq,priming,spanning_rounds,spanning_time,duration_to_emerge,turns_to_emerge,rounds_to_emerge,turns,rounds,estab_round,estab_turn,first_round,last_round,initiator,pos_seq,exp with pos,pair,dataset,from_ts,to_ts,establishment_ts,shared expressions,target_fribble,exp,#shared expressions,expressions_set,number of rounds,content_words_exp,int_pair,from_ts_unique,to_ts_unique,ts_len
het bollet,2,"[6, 6]",[6],1,0.0,"['A', 'B']",2,2,1,0,0.75,0.75,1,0,[46 47],"[1, 1]",1,47,1,1,A,DET NOUN,het#DET bollet#NOUN,1,small,"[87.341, 90.231]","[90.491, 90.981]",90.231,['het bollet'],6,het bollet,1,het bollet,1,bollet,1,"[87.341, 90.231]","[90.491, 90.981]",2
rood,1,"[9, 9, 9]",[9],1,0.0,"['B', 'A', 'B']",3,1,1,0,2.8840000000000003,1.4099999999999966,1,0,[28 29 30],"[1, 1, 1]",1,29,1,1,B,ADJ,rood#ADJ,1,small,"[47.981, 49.391, 52.439]","[49.555, 53.081, 53.641]",49.391,"['een rood', 'rood']",9,rood,2,een rood,1,rood,1,"[47.981, 49.391, 52.439]","[49.555, 53.081, 53.641]",3
plateau,1,"[13, 13, 13, 13]",[13],1,0.0,"['A', 'B', 'B', 'A']",4,4,1,2,268.4140000000001,268.4140000000001,1,0,[321 322 359 412],"[3, 3, 4, 5]",3,322,3,5,A,NOUN,plateau#NOUN,1,small,"[840.567, 843.141, 955.063, 1108.887]","[841.681, 845.261, 960.831, 1111.555]",843.141,['plateau'],13,plateau,1,plateau,3,plateau,1,"[840.567, 843.141, 955.063, 1108.887]","[841.681, 845.261, 960.831, 1111.555]",4
rui,1,"[11, 11]",[11],1,0.0,"['A', 'B']",2,2,1,0,4.100000000000023,4.100000000000023,3,0,[109 112],"[1, 1]",1,112,1,1,A,NOUN,rui#NOUN,1,small,"[238.935, 248.521]","[247.021, 252.621]",248.521,['rui'],11,rui,1,rui,1,rui,1,"[238.935, 248.521]","[247.021, 252.621]",4
cilinder,1,"[14, 14]",[14],1,0.0,"['B', 'A']",2,2,1,0,2.9899999999999807,2.9899999999999807,3,0,[70 73],"[1, 1]",1,73,1,1,B,NOUN,cilinder#NOUN,1,small,"[129.681, 140.931]","[132.161, 143.921]",140.931,['cilinder'],14,cilinder,1,cilinder,1,cilinder,1,"[129.681, 140.931]","[132.161, 143.921]",2
blok,1,"[3, 3]",[3],1,0.0,"['A', 'B']",2,2,1,0,2.7700000000000387,2.7700000000000387,4,0,[128 132],"[1, 1]",1,132,1,1,A,NOUN,blok#NOUN,1,small,"[301.531, 307.991]","[305.001, 310.761]",307.991,['blok'],3,blok,1,blok,1,blok,1,"[301.531, 307.991]","[305.001, 310.761]",2
arm,1,"[6, 6, 6, 14, 8, 14, 6, 14, 8]",[ 6  8 14],3,0.3826232641893706,"['B', 'B', 'A', 'B', 'B', 'A', 'A', 'A', 'A']",9,2,2,3,967.578,17.140000000000008,4,0,[ 37  38  41  69 120 226 352 378 383],"[1, 1, 1, 1, 1, 2, 4, 4, 4]",1,41,1,4,B,NOUN,arm#NOUN,1,small,"[60.421, 63.361, 77.561, 127.991, 275.361, 557.721, 929.847, 1013.621, 1030.679]","[63.101, 67.161, 80.711, 129.501, 278.881, 559.381, 935.841, 1017.281, 1037.921]",77.561,"['arm', 'die arm']",6,arm,2,arm die,3,arm,1,"[60.421, 63.361, 77.561, 127.991, 275.361, 557.721, 929.847, 1013.621, 1030.679]","[63.101, 67.161, 80.711, 129.501, 278.881, 559.381, 935.841, 1017.281, 1037.921]",9
ruit,1,"[8, 8, 8, 8, 8]",[8],1,0.0,"['B', 'A', 'A', 'B', 'B']",5,1,1,4,868.21,29.97800000000001,6,0,[117 123 277 338 419],"[1, 1, 2, 3, 5]",1,123,1,5,B,NOUN,ruit#NOUN,1,small,"[257.661, 287.639, 720.941, 886.381, 1131.991]","[263.781, 290.707, 725.581, 890.461, 1135.181]",287.639,"['zijn een ruit', 'een ruit', 'ruit']",8,ruit,3,een ruit zijn,4,ruit,1,"[257.661, 287.639, 720.941, 886.381, 1131.991]","[263.781, 290.707, 725.581, 890.461, 1135.181]",5
satelliet,1,"[1, 12, 12, 12, 12, 1, 1, 12, 1, 1]",[ 1 12],2,0.25,"['A', 'B', 'A', 'A', 'B', 'A', 'B', 'A', 'A', 'B']",10,1,1,5,774.7339999999999,30.889999999999983,10,0,[199 209 218 256 303 305 354 364 416 458],"[1, 1, 1, 2, 3, 3, 4, 4, 5, 6]",3,209,1,6,A,NOUN,satelliet#NOUN,1,small,"[474.011, 504.901, 529.161, 655.479, 786.935, 793.719, 938.775, 968.247, 1122.935, 1252.375]","[477.641, 507.571, 530.581, 656.941, 789.801, 796.541, 941.461, 969.521, 1125.161, 1254.441]",504.901,"['satelliet', 'satelliet met de', 'satelliet met']",1,satelliet,3,satelliet met de,6,satelliet,1,"[474.011, 504.901, 529.161, 655.479, 786.935, 793.719, 938.775, 968.247, 1122.935, 1252.375]","[477.641, 507.571, 530.581, 656.941, 789.801, 796.541, 941.461, 969.521, 1125.161, 1254.441]",10
rechthoekig,1,"[5, 5, 5]",[5],1,0.0,"['A', 'B', 'B']",3,3,1,1,384.38,384.38,13,0,[142 155 286],"[1, 1, 2]",1,155,1,2,A,ADJ,rechthoekig#ADJ,1,small,"[336.741, 367.741, 747.481]","[345.201, 371.221, 752.121]",367.741,['rechthoekig'],5,rechthoekig,1,rechthoekig,2,rechthoekig,1,"[336.741, 367.741, 747.481]","[345.201, 371.221, 752.121]",3
cirkel,1,"[9, 6, 6, 9, 6, 6]",[6 9],2,0.2295739585136223,"['A', 'B', 'B', 'B', 'A', 'A']",6,1,1,3,896.336,37.41000000000001,25,0,[ 14  39  48 234 263 352],"[1, 1, 1, 2, 2, 4]",2,39,1,4,A,NOUN,cirkel#NOUN,1,small,"[30.011, 67.421, 91.081, 571.191, 680.481, 929.847]","[33.511, 69.651, 95.181, 574.441, 686.061, 935.841]",67.421,"['cirkel aan', 'cirkel', 'een cirkel']",6,cirkel,3,een aan cirkel,3,cirkel,1,"[30.011, 67.421, 91.081, 571.191, 680.481, 929.847]","[33.511, 69.651, 95.181, 574.441, 686.061, 935.841]",6
cocktailglas,1,"[9, 9, 9]",[9],1,0.0,"['B', 'A', 'B']",3,3,1,2,142.9780000000001,142.9780000000001,33,1,[375 408 454],"[4, 5, 6]",5,408,4,6,B,NOUN,cocktailglas#NOUN,1,small,"[1004.055, 1099.223, 1241.207]","[1006.681, 1100.181, 1242.201]",1099.223,['cocktailglas'],9,cocktailglas,1,cocktailglas,3,cocktailglas,1,"[1004.055, 1099.223, 1241.207]","[1006.681, 1100.181, 1242.201]",3
