label,length,fribbles,target_fribbles,#fribbles,fribbles entropy,speakers,freq,free. freq,priming,spanning_rounds,spanning_time,duration_to_emerge,turns_to_emerge,rounds_to_emerge,turns,rounds,estab_round,estab_turn,first_round,last_round,initiator,pos_seq,exp with pos,pair,dataset,from_ts,to_ts,establishment_ts,shared expressions,target_fribble,exp,#shared expressions,expressions_set,number of rounds,content_words_exp,int_pair,from_ts_unique,to_ts_unique,ts_len
vierkant,1,"[16, 8, 8, 16, 8, 16]",[ 8 16],2,0.25,"['B', 'B', 'A', 'A', 'A', 'A']",6,1,2,2,648.64,115.29600000000002,38,0,[ 85 118 123 243 278 317],"[1, 1, 1, 2, 2, 3]",1,123,1,3,B,NOUN,vierkant#NOUN,1,small,"[172.343, 264.161, 287.639, 607.661, 725.971, 825.381]","[176.741, 270.201, 290.707, 614.481, 729.591, 831.281]",287.639,"['van die vierkant', 'vierkant']",8,vierkant,2,die vierkant van,3,vierkant,1,"[172.343, 264.161, 287.639, 607.661, 725.971, 825.381]","[176.741, 270.201, 290.707, 614.481, 729.591, 831.281]",6
Pinocchio,1,"[8, 8, 8, 8]",[8],1,0.0,"['B', 'A', 'B', 'A']",4,2,1,3,309.818,144.29800000000012,45,1,[338 383 419 440],"[3, 4, 5, 6]",4,383,3,6,B,PROPN,Pinocchio#PROPN,1,small,"[886.381, 1030.679, 1131.991, 1200.279]","[890.461, 1037.921, 1135.181, 1201.255]",1030.679,"['Pinocchio', 'eh ik hebben Pinocchio']",8,Pinocchio,2,Pinocchio eh hebben ik,4,Pinocchio eh,1,"[886.381, 1030.679, 1131.991, 1200.279]","[890.461, 1037.921, 1135.181, 1201.255]",4
armp,1,"[10, 10, 10, 10, 10]",[10],1,0.0,"['A', 'B', 'A', 'B', 'A']",5,5,1,4,418.5940000000001,418.5940000000001,48,1,[250 298 347 404 435],"[2, 3, 4, 5, 6]",3,298,2,6,A,NOUN,armp#NOUN,1,small,"[630.901, 769.421, 911.671, 1093.301, 1184.407]","[638.961, 773.601, 916.019, 1094.271, 1188.015]",769.421,['armp'],10,armp,1,armp,5,armp,1,"[630.901, 769.421, 911.671, 1093.301, 1184.407]","[638.961, 773.601, 916.019, 1094.271, 1188.015]",5
paddenstoel,1,"[10, 1, 1, 10, 1, 10, 1, 10, 10, 10, 1, 10]",[ 1 10],2,0.2449671891627881,"['B', 'A', 'A', 'A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']",12,1,1,5,854.5059999999999,150.05200000000002,60,0,[139 199 200 250 281 298 305 347 401 403 416 435],"[1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 5, 6]",2,199,1,6,B,NOUN,paddenstoel#NOUN,1,small,"[323.959, 474.011, 478.901, 630.901, 732.631, 769.421, 793.719, 911.671, 1080.301, 1091.141, 1122.935, 1184.407]","[329.901, 477.641, 483.841, 638.961, 735.821, 773.601, 796.541, 916.019, 1084.521, 1093.061, 1125.161, 1188.015]",474.011,"['met de paddenstoel bovenop', 'de paddenstoel', 'paddenstoel']",1,paddenstoel,3,paddenstoel met de bovenop,6,paddenstoel bovenop,1,"[323.959, 474.011, 478.901, 630.901, 732.631, 769.421, 793.719, 911.671, 1080.301, 1091.141, 1122.935, 1184.407]","[329.901, 477.641, 483.841, 638.961, 735.821, 773.601, 796.541, 916.019, 1084.521, 1093.061, 1125.161, 1188.015]",12
er doorheen,2,"[6, 6]",[6],1,0.0,"['B', 'A']",2,2,1,1,2.3479999999999563,2.3479999999999563,60,1,[396 456],"[5, 6]",6,456,5,6,B,ADV ADP,er#ADV doorheen#ADP,1,small,"[1067.575, 1245.207]","[1070.801, 1247.555]",1245.207,['er doorheen'],6,er doorheen,1,er doorheen,2,doorheen,1,"[1067.575, 1245.207]","[1070.801, 1247.555]",2
citroen,1,"[9, 9, 9]",[9],1,0.0,"['B', 'A', 'B']",3,1,1,2,427.274,186.5619999999999,60,1,[235 295 375],"[2, 3, 4]",3,295,2,4,B,NOUN,citroen#NOUN,1,small,"[575.541, 762.103, 1004.055]","[576.781, 766.461, 1006.681]",762.103,"['citroen', 'met het citroen en']",9,citroen,2,citroen en met het,3,citroen,1,"[575.541, 762.103, 1004.055]","[576.781, 766.461, 1006.681]",3
bakje,1,"[7, 7, 7, 7, 7, 7, 7, 7]",[7],1,0.0,"['B', 'B', 'A', 'B', 'A', 'B', 'A', 'B']",8,1,2,5,767.23,235.562,75,1,[185 259 260 261 312 366 394 442],"[1, 2, 2, 2, 3, 4, 5, 6]",2,260,1,6,B,NOUN,bakje#NOUN,1,small,"[436.621, 663.161, 672.183, 674.501, 808.663, 977.821, 1060.281, 1205.911]","[438.681, 668.921, 674.921, 676.681, 810.841, 978.861, 1063.081, 1208.861]",672.183,"['met het bakje', 'bakje', 'met het bakje voorop']",7,bakje,3,bakje met het voorop,6,bakje voorop,1,"[436.621, 663.161, 672.183, 674.501, 808.663, 977.821, 1060.281, 1205.911]","[438.681, 668.921, 674.921, 676.681, 810.841, 978.861, 1063.081, 1208.861]",8
ijshoorn,1,"[2, 2, 2, 2, 2, 2]",[2],1,0.0,"['B', 'A', 'B', 'A', 'B', 'A']",6,2,1,5,782.9340000000001,256.76000000000005,81,1,[190 271 325 372 433 452],"[1, 2, 3, 4, 5, 6]",2,271,1,6,B,NOUN,ijshoorn#NOUN,1,small,"[445.561, 702.321, 849.975, 995.351, 1178.007, 1233.815]","[450.881, 705.861, 852.681, 999.611, 1179.621, 1236.661]",702.321,"['ijshoorn op de kop', 'met het ijshoorn']",2,ijshoorn,2,met op de ijshoorn kop het,6,ijshoorn kop,1,"[445.561, 702.321, 849.975, 995.351, 1178.007, 1233.815]","[450.881, 705.861, 852.681, 999.611, 1179.621, 1236.661]",6
de ober,2,"[12, 12, 12, 12, 12, 12]",[12],1,0.0,"['A', 'A', 'B', 'A', 'B', 'A']",6,2,2,5,745.3179999999999,262.5279999999999,88,2,[215 255 303 362 414 465],"[1, 2, 3, 4, 5, 6]",3,303,1,6,A,DET NOUN,de#DET ober#NOUN,1,small,"[524.407, 654.007, 786.935, 964.727, 1115.479, 1272.119]","[526.801, 654.901, 789.801, 965.961, 1116.981, 1273.215]",786.935,"['ik hebben de ober', 'de ober']",12,de ober,2,hebben ober de ik,6,ober,1,"[524.407, 654.007, 786.935, 964.727, 1115.479, 1272.119]","[526.801, 654.901, 789.801, 965.961, 1116.981, 1273.215]",6
armp en,2,"[14, 14, 14]",[14],1,0.0,"['B', 'B', 'A']",3,3,2,3,3.7280000000000655,3.7280000000000655,106,3,[342 423 448],"[3, 5, 6]",6,448,3,6,B,NOUN CCONJ,armp#NOUN en#CCONJ,1,small,"[901.239, 1148.247, 1222.167]","[904.221, 1150.961, 1225.895]",1222.167,['armp en'],14,armp en,1,armp en,3,armp,1,"[901.239, 1148.247, 1222.167]","[904.221, 1150.961, 1225.895]",3
vis,1,"[4, 4, 4, 4, 4, 4]",[4],1,0.0,"['B', 'A', 'B', 'A', 'B', 'A']",6,1,1,5,825.49,355.002,118,1,[165 283 309 387 410 444],"[1, 2, 3, 4, 5, 6]",2,283,1,6,B,NOUN,vis#NOUN,1,small,"[385.719, 740.721, 802.711, 1048.343, 1103.991, 1212.951]","[387.461, 741.741, 803.931, 1049.121, 1104.401, 1213.795]",740.721,"['vis', 'de vis', 'ik hebben de vis']",4,vis,3,hebben vis de ik,6,vis,1,"[385.719, 740.721, 802.711, 1048.343, 1103.991, 1212.951]","[387.461, 741.741, 803.931, 1049.121, 1104.401, 1213.795]",6
anker,1,"[3, 3, 3, 3, 3, 3]",[3],1,0.0,"['A', 'B', 'A', 'B', 'A', 'B']",6,1,1,5,916.49,324.41600000000005,120,1,[127 247 340 389 431 446],"[1, 2, 3, 4, 5, 6]",2,247,1,6,A,NOUN,anker#NOUN,1,small,"[296.919, 621.335, 894.327, 1052.983, 1172.727, 1217.921]","[301.431, 623.241, 895.521, 1054.141, 1173.555, 1218.671]",621.335,"['ik hebben het anker', 'met het anker', 'anker']",3,anker,3,met ik hebben anker het,6,anker,1,"[296.919, 621.335, 894.327, 1052.983, 1172.727, 1217.921]","[301.431, 623.241, 895.521, 1054.141, 1173.555, 1218.671]",6
balk,1,"[6, 6, 14, 4, 4, 14, 6, 14, 6, 14, 6, 14, 14, 6]",[ 4  6 14],3,0.3622039089312961,"['B', 'B', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A', 'B', 'A', 'A', 'A']",14,2,4,5,1178.046,346.38,136,0,[ 38  39  71 166 174 223 329 343 352 378 396 424 448 456],"[1, 1, 1, 1, 1, 2, 3, 3, 4, 4, 5, 5, 6, 6]",1,174,1,6,B,NOUN,balk#NOUN,1,small,"[63.361, 67.421, 132.759, 387.921, 409.741, 542.861, 864.823, 905.361, 929.847, 1013.621, 1067.575, 1154.295, 1222.167, 1245.207]","[67.161, 69.651, 136.741, 393.671, 413.381, 549.875, 867.701, 906.511, 935.841, 1017.281, 1070.801, 1155.095, 1225.895, 1247.555]",409.741,['balk'],4,balk,1,balk,6,balk,1,"[63.361, 67.421, 132.759, 387.921, 409.741, 542.861, 864.823, 905.361, 929.847, 1013.621, 1067.575, 1154.295, 1222.167, 1245.207]","[67.161, 69.651, 136.741, 393.671, 413.381, 549.875, 867.701, 906.511, 935.841, 1017.281, 1070.801, 1155.095, 1225.895, 1247.555]",14
twee armp,2,"[5, 5]",[5],1,0.0,"['A', 'B']",2,2,1,1,1.1100000000000136,1.1100000000000136,146,1,[142 288],"[1, 2]",2,288,1,2,A,NUM NOUN,twee#NUM armp#NOUN,1,small,"[336.741, 754.991]","[345.201, 756.101]",754.991,['twee armp'],5,twee armp,1,twee armp,2,twee armp,1,"[336.741, 754.991]","[345.201, 756.101]",2
armpje,1,"[16, 16, 8, 8, 8]",[ 8 16],2,0.2427376486136672,"['B', 'A', 'A', 'B', 'B']",5,2,1,4,952.49,437.56,158,1,[ 86 244 277 338 419],"[1, 2, 2, 3, 5]",2,244,1,5,B,NOUN,armpje#NOUN,1,small,"[177.081, 614.641, 720.941, 886.381, 1131.991]","[179.501, 617.461, 725.581, 890.461, 1135.181]",614.641,['armpje'],8,armpje,1,armpje,4,armpje,1,"[177.081, 614.641, 720.941, 886.381, 1131.991]","[179.501, 617.461, 725.581, 890.461, 1135.181]",5
papier,1,"[11, 11, 11]",[11],1,0.0,"['A', 'A', 'B']",3,3,2,1,3.759999999999991,3.759999999999991,158,1,[ 95 106 253],"[1, 1, 2]",2,253,1,2,A,NOUN,papier#NOUN,1,small,"[196.991, 229.719, 646.741]","[202.511, 234.801, 650.501]",646.741,['papier'],11,papier,1,papier,2,papier,1,"[196.991, 229.719, 646.741]","[202.511, 234.801, 650.501]",3
steeds groot worden,3,"[16, 16, 16]",[16],1,0.0,"['B', 'A', 'A']",3,1,1,2,648.64,435.318,158,1,[ 85 243 317],"[1, 2, 3]",2,243,1,3,B,ADV ADJ VERB,steeds#ADV groot#ADJ worden#VERB,1,small,"[172.343, 607.661, 825.381]","[176.741, 614.481, 831.281]",607.661,"['vierkant die steeds groot worden', 'steeds groot worden']",16,steeds groot worden,2,worden vierkant groot steeds die,3,vierkant groot steeds,1,"[172.343, 607.661, 825.381]","[176.741, 614.481, 831.281]",3
Ernie,1,"[11, 11, 11, 11, 11, 11]",[11],1,0.0,"['A', 'B', 'A', 'B', 'A', 'B']",6,3,1,5,1005.226,457.22399999999993,159,1,[ 93 252 327 385 398 438],"[1, 2, 3, 4, 5, 6]",2,252,1,6,A,PROPN,Ernie#PROPN,1,small,"[186.831, 644.055, 858.461, 1041.975, 1073.783, 1194.327]","[189.101, 646.481, 859.221, 1043.061, 1074.481, 1195.791]",644.055,"['ik hebben Ernie', 'Ernie']",11,Ernie,2,Ernie hebben ik,6,Ernie,1,"[186.831, 644.055, 858.461, 1041.975, 1073.783, 1194.327]","[189.101, 646.481, 859.221, 1043.061, 1074.481, 1195.791]",6
groot worden,2,"[8, 8]",[8],1,0.0,"['B', 'A']",2,2,1,1,3.620000000000005,3.620000000000005,160,1,[118 278],"[1, 2]",2,278,1,2,B,ADJ VERB,groot#ADJ worden#VERB,1,small,"[264.161, 725.971]","[270.201, 729.591]",725.971,['groot worden'],8,groot worden,1,groot worden,2,groot,1,"[264.161, 725.971]","[270.201, 729.591]",2
ovaal,1,"[16, 16, 16]",[16],1,0.0,"['B', 'A', 'A']",3,3,1,3,347.15,347.15,160,1,[ 82 242 356],"[1, 2, 4]",2,242,1,4,B,ADJ,ovaal#ADJ,1,small,"[163.111, 603.731, 945.271]","[167.941, 607.021, 950.881]",603.731,['ovaal'],16,ovaal,1,ovaal,3,ovaal,1,"[163.111, 603.731, 945.271]","[167.941, 607.021, 950.881]",3
bollet,1,"[13, 13]",[13],1,0.0,"['A', 'B']",2,2,1,1,3.200000000000045,3.200000000000045,193,1,[ 76 269],"[1, 2]",2,269,1,2,A,NOUN,bollet#NOUN,1,small,"[148.941, 695.731]","[154.611, 698.931]",695.731,['bollet'],13,bollet,1,bollet,2,bollet,1,"[148.941, 695.731]","[154.611, 698.931]",2
drijven,1,"[15, 7, 7, 15, 15, 7, 7, 15, 7, 15]",[ 7 15],2,0.25,"['A', 'A', 'B', 'B', 'B', 'B', 'A', 'A', 'B', 'B']",10,1,2,5,1168.044,553.6,202,1,[ 56 178 258 273 350 365 394 421 442 467],"[1, 1, 2, 2, 4, 4, 5, 5, 6, 6]",2,258,1,6,A,VERB,drijven#VERB,1,small,"[107.121, 417.591, 660.721, 709.527, 922.231, 972.951, 1060.281, 1140.471, 1205.911, 1279.415]","[111.371, 418.941, 663.061, 711.241, 923.851, 977.721, 1063.081, 1142.851, 1208.861, 1281.185]",660.721,"['die drijven met', 'die drijven', 'drijven']",7,drijven,3,die met drijven,5,drijven,1,"[107.121, 417.591, 660.721, 709.527, 922.231, 972.951, 1060.281, 1140.471, 1205.911, 1279.415]","[111.371, 418.941, 663.061, 711.241, 923.851, 977.721, 1063.081, 1142.851, 1208.861, 1281.185]",10
glijbaan,1,"[15, 15, 15, 15, 15, 15]",[15],1,0.0,"['A', 'B', 'A', 'B', 'A', 'B']",6,1,1,5,1164.774,597.566,215,1,[ 58 273 301 350 421 467],"[1, 2, 3, 4, 5, 6]",2,273,1,6,A,NOUN,glijbaan#NOUN,1,small,"[111.961, 709.527, 779.159, 922.231, 1140.471, 1279.415]","[114.641, 711.241, 781.427, 923.851, 1142.851, 1281.185]",709.527,"['drijven met de glijbaan', 'glijbaan', 'met de glijbaan']",15,glijbaan,3,met de drijven glijbaan,6,drijven glijbaan,1,"[111.961, 709.527, 779.159, 922.231, 1140.471, 1279.415]","[114.641, 711.241, 781.427, 923.851, 1142.851, 1281.185]",6
uitsteeksel,1,"[16, 16, 16, 16]",[16],1,0.0,"['B', 'B', 'A', 'B']",4,4,2,4,224.3700000000001,224.3700000000001,276,3,[ 80 315 356 429],"[1, 3, 4, 5]",4,356,1,5,B,NOUN,uitsteeksel#NOUN,1,small,"[158.679, 816.663, 945.271, 1165.239]","[161.501, 822.541, 950.881, 1169.641]",945.271,['uitsteeksel'],16,uitsteeksel,1,uitsteeksel,4,uitsteeksel,1,"[158.679, 816.663, 945.271, 1165.239]","[161.501, 822.541, 950.881, 1169.641]",4
vierkan,1,"[16, 16, 16]",[16],1,0.0,"['A', 'B', 'A']",3,3,1,1,233.87,233.87,1,0,[ 95  96 189],"[1, 1, 2]",1,96,1,2,A,NOUN,vierkan#NOUN,2,small,"[218.754, 221.97, 452.54]","[221.79, 225.24, 455.84]",221.97,['vierkan'],16,vierkan,1,vierkan,2,vierkan,2,"[218.754, 221.97, 452.54]","[221.79, 225.24, 455.84]",3
gewoon,1,"[11, 11, 11]",[11],1,0.0,"['A', 'B', 'B']",3,1,1,1,256.446,1.299999999999983,2,0,[103 105 205],"[1, 1, 2]",1,105,1,2,A,ADJ,gewoon#ADJ,2,small,"[242.46, 243.76, 499.74]","[243.294, 246.56, 503.76]",243.76,"['zijn gewoon', 'gewoon']",11,gewoon,2,zijn gewoon,2,gewoon,2,"[242.46, 243.76, 499.74]","[243.294, 246.56, 503.76]",3
een uitstekend,2,"[9, 9]",[9],1,0.0,"['A', 'B']",2,2,1,0,1.358000000000004,1.358000000000004,4,0,[14 18],"[1, 1]",1,18,1,1,A,DET ADJ,een#DET uitstekend#ADJ,2,small,"[29.058, 43.202]","[34.08, 44.56]",43.202,['een uitstekend'],9,een uitstekend,1,een uitstekend,1,uitstekend,2,"[29.058, 43.202]","[34.08, 44.56]",2
arm,1,"[10, 10, 10, 10, 10, 10]",[10],1,0.0,"['A', 'B', 'B', 'A', 'B', 'A']",6,6,1,4,455.27,455.27,4,0,[195 199 254 289 333 355],"[2, 2, 3, 4, 5, 6]",2,199,2,6,A,NOUN,arm#NOUN,2,small,"[470.21, 489.89, 620.002, 726.08, 860.386, 942.21]","[474.78, 491.22, 623.61, 730.54, 863.5, 945.16]",489.89,['arm'],10,arm,1,arm,5,arm,2,"[470.21, 489.89, 620.002, 726.08, 860.386, 942.21]","[474.78, 491.22, 623.61, 730.54, 863.5, 945.16]",10
een rok aan,3,"[15, 15]",[15],1,0.0,"['A', 'B']",2,2,1,0,1.1799999999999926,1.1799999999999926,5,0,[44 49],"[1, 1]",1,49,1,1,A,DET NOUN ADP,een#DET rok#NOUN aan#ADP,2,small,"[110.146, 119.18]","[111.678, 120.36]",119.18,['een rok aan'],15,een rok aan,1,een rok aan,1,rok,2,"[110.146, 119.18]","[111.678, 120.36]",2
die geven een high five,5,"[15, 15]",[15],1,0.0,"['A', 'B']",2,2,1,0,1.7700000000000102,1.7700000000000102,6,0,[45 51],"[1, 1]",1,51,1,1,A,PRON VERB DET SYM SYM,die#PRON geven#VERB een#DET high#SYM five#SYM,2,small,"[112.194, 129.39]","[115.71, 131.16]",129.39,['die geven een high five'],15,die geven een high five,1,high geven five een die,1,high five,2,"[112.194, 129.39]","[115.71, 131.16]",2
lepel,1,"[16, 16, 11, 11, 16, 16, 11, 16, 11, 16, 11, 11, 16, 11, 16]",[11 16],2,0.2491979079954091,"['B', 'A', 'B', 'A', 'A', 'A', 'B', 'B', 'A', 'A', 'B', 'A', 'B', 'B', 'A']",15,2,1,5,818.306,16.03200000000001,8,0,[ 82  90 105 106 188 189 205 266 275 305 324 331 350 358 372],"[1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6]",1,90,1,6,B,NOUN,lepel#NOUN,2,small,"[198.85, 214.882, 243.76, 245.762, 450.53, 452.54, 499.74, 662.722, 685.602, 765.922, 826.274, 852.866, 925.154, 956.834, 1018.466]","[200.16, 216.23, 246.56, 248.58, 452.4, 455.84, 503.76, 667.0, 687.52, 767.54, 827.69, 854.53, 928.85, 958.5, 1019.94]",214.882,"['dit zijn weer met die fancy lepel', 'fancy lepel en', 'lepel', 'dit zijn met die fancy lepel', 'met die fancy lepel en']",11,lepel,5,met fancy en zijn weer die lepel dit,6,fancy weer lepel,2,"[198.85, 214.882, 243.76, 245.762, 450.53, 452.54, 499.74, 662.722, 685.602, 765.922, 826.274, 852.866, 925.154, 956.834, 1018.466]","[200.16, 216.23, 246.56, 248.58, 452.4, 455.84, 503.76, 667.0, 687.52, 767.54, 827.69, 854.53, 928.85, 958.5, 1019.94]",15
zwaaien,1,"[15, 15, 15, 15, 15]",[15],1,0.0,"['B', 'A', 'B', 'A', 'B']",5,1,1,4,475.64,61.82399999999996,25,1,[232 257 292 345 376],"[2, 3, 4, 5, 6]",3,257,2,6,B,VERB,zwaaien#VERB,2,small,"[565.25, 627.074, 735.52, 903.33, 1044.74]","[569.1, 628.73, 737.06, 904.76, 1046.04]",627.074,"['weer die zwaaien', 'zwaaien', 'die zwaaien']",15,zwaaien,3,die zwaaien weer,5,weer zwaaien,2,"[565.25, 627.074, 735.52, 903.33, 1044.74]","[569.1, 628.73, 737.06, 904.76, 1046.04]",5
