pair_name,turn_ID,speaker,word,lemma,pos,lemma_pos,from_ts,to_ts
001,0,A,Ja,ja,INTJ,ja#INTJ,0.161,1.651
001,0,A,ik,ik,PRON,ik#PRON,0.161,1.651
001,0,A,ben,zijn,AUX,zijn#AUX,0.161,1.651
001,0,A,ook,ook,ADV,ook#ADV,0.161,1.651
001,0,A,heel,heel,ADJ,heel#ADJ,0.161,1.651
001,0,A,benieuwd,benieuwd,ADJ,benieuwd#ADJ,0.161,1.651
001,1,B,Met,met,ADP,met#ADP,1.559,2.841
001,1,B,jou,jou,PRON,jou#PRON,1.559,2.841
001,1,B,ook,ook,ADV,ook#ADV,1.559,2.841
001,1,B,alles,alles,PRON,alles#PRON,1.559,2.841
001,1,B,goed,goed,ADJ,goed#ADJ,1.559,2.841
001,2,A,Ja,ja,INTJ,ja#INTJ,3.721,4.582
001,2,A,met,met,ADP,met#ADP,3.721,4.582
001,2,A,mij,mij,PRON,mij#PRON,3.721,4.582
001,2,A,ook,ook,ADV,ook#ADV,3.721,4.582
001,2,A,wel,wel,ADV,wel#ADV,3.721,4.582
001,3,A,Ik,ik,PRON,ik#PRON,4.831,6.781
001,3,A,vind,vinden,VERB,vinden#VERB,4.831,6.781
001,3,A,Oh,Oh,INTJ,Oh#INTJ,4.831,6.781
001,3,A,oké,oké,ADJ,oké#ADJ,4.831,6.781
001,3,A,we,we,PRON,we#PRON,4.831,6.781
001,3,A,mogen,mogen,AUX,mogen#AUX,4.831,6.781
001,3,A,beginnen,beginnen,VERB,beginnen#VERB,4.831,6.781
001,4,B,Mooi,mooi,ADJ,mooi#ADJ,4.951,5.341
001,5,B,Yes,Yes,PROPN,Yes#PROPN,6.839,7.121
001,6,A,Ehm,Ehm,AUX,Ehm#AUX,6.851,9.951
001,6,A,ik,ik,PRON,ik#PRON,6.851,9.951
001,6,A,ik,ik,PRON,ik#PRON,6.851,9.951
001,6,A,heb,hebben,AUX,hebben#AUX,6.851,9.951
001,6,A,het,het,DET,het#DET,6.851,9.951
001,6,A,vierkantje,vierkan,NOUN,vierkan#NOUN,6.851,9.951
001,6,A,dus,dus,ADV,dus#ADV,6.851,9.951
001,6,A,ik,ik,PRON,ik#PRON,6.851,9.951
001,6,A,moet,moeten,AUX,moeten#AUX,6.851,9.951
001,6,A,beginnen,beginnen,VERB,beginnen#VERB,6.851,9.951
001,6,A,met,met,ADP,met#ADP,6.851,9.951
001,6,A,uitleggen,uitleggen,VERB,uitleggen#VERB,6.851,9.951
001,6,A,he,he,INTJ,he#INTJ,6.851,9.951
001,7,B,Oké,Oké,ADJ,Oké#ADJ,10.071,10.481
001,8,A,Ehm,Ehm,ADV,Ehm#ADV,10.841,11.401
001,9,A,Oké,Oké,AUX,Oké#AUX,12.211,18.411
001,9,A,ik,ik,PRON,ik#PRON,12.211,18.411
001,9,A,heb,hebben,AUX,hebben#AUX,12.211,18.411
001,9,A,dus,dus,ADV,dus#ADV,12.211,18.411
001,9,A,zeg,zeggen,VERB,zeggen#VERB,12.211,18.411
001,9,A,maar,maar,ADV,maar#ADV,12.211,18.411
001,9,A,ja,ja,INTJ,ja#INTJ,12.211,18.411
001,9,A,dat,dat,DET,dat#DET,12.211,18.411
001,9,A,soort,soort,NOUN,soort#NOUN,12.211,18.411
001,9,A,van,van,ADP,van#ADP,12.211,18.411
001,9,A,reactortje,reactortje,NOUN,reactortje#NOUN,12.211,18.411
001,9,A,die,die,PRON,die#PRON,12.211,18.411
001,9,A,staat,staan,VERB,staan#VERB,12.211,18.411
001,9,A,op,op,ADP,op#ADP,12.211,18.411
001,9,A,een,een,DET,een#DET,12.211,18.411
001,9,A,op,op,ADP,op#ADP,12.211,18.411
001,9,A,een,een,DET,een#DET,12.211,18.411
001,9,A,ja,ja,NOUN,ja#NOUN,12.211,18.411
001,9,A,op,op,ADP,op#ADP,12.211,18.411
001,9,A,een,een,DET,een#DET,12.211,18.411
001,9,A,vlakje,vlakje,NOUN,vlakje#NOUN,12.211,18.411
001,10,A,Dat,dat,PRON,dat#PRON,18.461,22.21
001,10,A,is,zijn,AUX,zijn#AUX,18.461,22.21
001,10,A,een,een,DET,een#DET,18.461,22.21
001,10,A,een,een,DET,een#DET,18.461,22.21
001,10,A,een,een,DET,een#DET,18.461,22.21
001,10,A,ovaal,ovaal,ADJ,ovaal#ADJ,18.461,22.21
001,10,A,vlak,vlak,NOUN,vlak#NOUN,18.461,22.21
001,11,A,En,en,CCONJ,en#CCONJ,22.231,24.531
001,11,A,dat,dat,PRON,dat#PRON,22.231,24.531
001,11,A,is,zijn,AUX,zijn#AUX,22.231,24.531
001,11,A,een,een,DET,een#DET,22.231,24.531
001,11,A,soort,soort,NOUN,soort#NOUN,22.231,24.531
001,11,A,van,van,ADP,van#ADP,22.231,24.531
001,11,A,ja,ja,INTJ,ja#INTJ,22.231,24.531
001,11,A,staand,staand,ADJ,staand#ADJ,22.231,24.531
001,11,A,iets,iets,PRON,iets#PRON,22.231,24.531
001,11,A,waar,waar,ADV,waar#ADV,22.231,24.531
001,11,A,die,die,PRON,die#PRON,22.231,24.531
001,11,A,op,op,ADP,op#ADP,22.231,24.531
001,11,A,staat,staat,NOUN,staat#NOUN,22.231,24.531
001,12,A,Dan,dan,ADV,dan#ADV,25.071,29.471
001,12,A,lijkt,lijken,VERB,lijken#VERB,25.071,29.471
001,12,A,het,het,PRON,het#PRON,25.071,29.471
001,12,A,alsof,alsof,SCONJ,alsof#SCONJ,25.071,29.471
001,12,A,hij,hij,PRON,hij#PRON,25.071,29.471
001,12,A,geroerd,roeren,VERB,roeren#VERB,25.071,29.471
001,12,A,word,worden,AUX,worden#AUX,25.071,29.471
001,12,A,omdat,omdat,SCONJ,omdat#SCONJ,25.071,29.471
001,12,A,er,er,ADV,er#ADV,25.071,29.471
001,12,A,een,een,DET,een#DET,25.071,29.471
001,12,A,ja,ja,INTJ,ja#INTJ,25.071,29.471
001,12,A,pinnetje,pinne,NOUN,pinne#NOUN,25.071,29.471
001,12,A,op,op,ADP,op#ADP,25.071,29.471
001,12,A,zit,zitten,VERB,zitten#VERB,25.071,29.471
001,13,B,Mhm,mhm,PROPN,mhm#PROPN,29.687,30.261
001,14,A,Ehm,ehm,ADV,ehm#ADV,30.011,33.511
