pair,speaker,condition,round,trial,begin,end,duration_ms,duration_m,director,accuracy,target,num_words,num_content_words,num_lex_align,num_gestures,num_iconic_gestures,num_deictic_gestures,num_representational_gestures,num_other_gestures,num_gestural_align
1,A,Sym,5,5_11,1145690,1152714,7024,0.11706666666666667,A,1,15,9,2,2,1,0,0,0,1,0
1,B,Sym,5,5_11,1145690,1152714,7024,0.11706666666666667,A,1,15,3,0,0,0,0,0,0,0,0
1,A,Sym,5,5_12,1152814,1163826,11012,0.18353333333333335,B,1,14,8,2,0,1,1,0,1,0,0
1,B,Sym,5,5_12,1152814,1163826,11012,0.18353333333333335,B,1,14,12,3,0,2,2,0,2,0,3
1,A,Sym,5,5_13,1163926,1170310,6384,0.10640000000000001,A,1,5,5,2,0,0,0,0,0,0,0
1,B,Sym,5,5_13,1163926,1170310,6384,0.10640000000000001,A,1,5,4,0,0,0,0,0,0,0,0
1,A,Sym,5,5_14,1170410,1177774,7364,0.12273333333333333,B,1,16,4,2,0,1,0,0,0,1,0
1,B,Sym,5,5_14,1170410,1177774,7364,0.12273333333333333,B,1,16,14,5,1,2,2,0,2,0,2
1,A,Sym,5,5_15,1177874,1182780,4906,0.08176666666666667,A,1,3,5,2,1,0,0,0,0,0,0
1,B,Sym,5,5_15,1177874,1182780,4906,0.08176666666666667,A,1,3,3,0,0,0,0,0,0,0,0
1,A,Sym,5,5_16,1182880,1188758,5878,0.09796666666666667,B,1,2,4,2,0,0,0,0,0,0,0
1,B,Sym,5,5_16,1182880,1188758,5878,0.09796666666666667,B,1,2,8,3,1,0,0,0,0,0,0
1,A,Sym,6,6_1,1188858,1199214,10356,0.1726,A,1,10,17,6,2,2,2,0,2,0,2
1,B,Sym,6,6_1,1188858,1199214,10356,0.1726,A,1,10,4,0,0,0,0,0,0,0,0
1,A,Sym,6,6_2,1199314,1204827,5513,0.09188333333333333,B,1,11,4,1,0,1,0,0,0,1,0
1,B,Sym,6,6_2,1199314,1204827,5513,0.09188333333333333,B,1,11,4,1,1,0,0,0,0,0,0
1,A,Sym,6,6_3,1204927,1210357,5430,0.0905,A,1,8,4,1,1,0,0,0,0,0,0
1,B,Sym,6,6_3,1204927,1210357,5430,0.0905,A,1,8,4,0,0,0,0,0,0,0,0
1,A,Sym,6,6_4,1210457,1217565,7108,0.11846666666666666,B,1,7,4,1,0,0,0,0,0,0,0
1,B,Sym,6,6_4,1210457,1217565,7108,0.11846666666666666,B,1,7,9,4,2,1,0,0,0,1,0
1,A,Sym,6,6_5,1217665,1222486,4821,0.08034999999999999,A,1,4,5,1,1,0,0,0,0,0,0
1,B,Sym,6,6_5,1217665,1222486,4821,0.08034999999999999,A,1,4,4,0,0,0,0,0,0,0,0
1,A,Sym,6,6_6,1222586,1226493,3907,0.06511666666666667,B,1,3,4,2,0,0,0,0,0,0,0
1,B,Sym,6,6_6,1222586,1226493,3907,0.06511666666666667,B,1,3,4,1,1,0,0,0,0,0,0
1,A,Sym,6,6_7,1226593,1233233,6640,0.11066666666666666,A,1,14,17,5,1,3,3,0,3,0,3
1,B,Sym,6,6_7,1226593,1233233,6640,0.11066666666666666,A,1,14,4,0,0,0,0,0,0,0,0
1,A,Sym,6,6_8,1233333,1238130,4797,0.07995,B,1,13,3,1,0,0,0,0,0,0,0
1,B,Sym,6,6_8,1233333,1238130,4797,0.07995,B,1,13,8,4,0,0,0,0,0,0,0
1,A,Sym,6,6_9,1238230,1245318,7088,0.11813333333333334,A,1,2,8,1,1,1,1,0,1,0,1
1,B,Sym,6,6_9,1238230,1245318,7088,0.11813333333333334,A,1,2,3,0,0,0,0,0,0,0,0
1,A,Sym,6,6_10,1245418,1249435,4017.0000000000005,0.06695000000000001,B,1,9,4,2,0,0,0,0,0,0,0
1,B,Sym,6,6_10,1245418,1249435,4017.0000000000005,0.06695000000000001,B,1,9,4,1,1,0,0,0,0,0,0
1,A,Sym,6,6_11,1249535,1256385,6850,0.11416666666666667,A,1,6,12,3,2,2,2,0,2,0,1
1,B,Sym,6,6_11,1249535,1256385,6850,0.11416666666666667,A,1,6,4,0,0,0,0,0,0,0,0
1,A,Sym,6,6_12,1256485,1261876,5391,0.08985,B,1,1,4,2,0,0,0,0,0,0,0
