pair,label,target,speaker_1,round_1,trial_1,turn_1,start_1,end_1,duration_1,turn_id_1,speaker_2,round_2,trial_2,turn_2,start_2,end_2,duration_2,turn_id_2,length,freq,pos_seq,n_fribbles,n_shared_expressions,shared_expression
45,knop,10,B,3,3_4,330,889.801,895.221,5.419999999999959,25764,A,4,4_13,431,1162.38,1166.788,4.407999999999902,25867,1,4,NOUN,1,2,"['knop erop', 'knop']"
45,verschillend,11,A,5,5_5,471,1263.608,1268.519,4.911000000000058,25907,B,6,6_10,544,1458.421,1459.37,0.9489999999998416,25980,1,2,ADJ,1,1,['verschillend']
45,rechthoekig,11,B,2,2_10,246,698.245,700.528,2.2830000000000155,25680,A,3,3_7,345,928.235,931.336,3.100999999999999,25779,1,2,ADJ,1,1,['rechthoekig']
45,vierkant,11,A,1,1_5,66,182.418,186.474,4.055999999999983,25499,B,4,4_4,398,1073.585,1080.487,6.902000000000044,25832,1,5,ADJ,2,2,"['vierkant', 'vierkant ervoor']"
45,vorm,11,A,3,3_7,345,928.235,931.336,3.100999999999999,25779,B,4,4_4,398,1073.585,1080.487,6.902000000000044,25832,1,3,NOUN,1,2,"['vorm ja', 'vorm']"
45,lepelt,11,A,3,3_7,344,922.471,926.924,4.452999999999975,25778,B,6,6_10,543,1455.629,1458.228,2.59900000000016,25979,1,3,NOUN,1,2,"['met twee lepelt', 'lepelt']"
45,paddenstoel,1,B,2,2_12,259,728.417,730.331,1.9139999999999875,25693,A,3,3_9,352,953.672,956.637,2.964999999999918,25786,1,5,NOUN,1,3,"['de paddenstoel', 'paddenstoel', 'paddenstoel op zijn hoofd']"
45,paddenstoel,1,A,3,3_9,352,953.672,956.637,2.964999999999918,25786,B,4,4_10,416,1133.979,1136.309,2.3299999999999272,25852,1,5,NOUN,1,3,"['de paddenstoel', 'paddenstoel', 'paddenstoel op zijn hoofd']"
45,paddenstoel,1,B,4,4_10,416,1133.979,1136.309,2.3299999999999272,25852,A,5,5_11,489,1311.411,1313.905,2.4939999999999145,25925,1,5,NOUN,1,3,"['de paddenstoel', 'paddenstoel', 'paddenstoel op zijn hoofd']"
45,paddenstoel,1,A,5,5_11,489,1311.411,1313.905,2.4939999999999145,25925,B,6,6_12,548,1467.426,1469.007,1.581000000000131,25984,1,5,NOUN,1,3,"['de paddenstoel', 'paddenstoel', 'paddenstoel op zijn hoofd']"
45,vierkant,1,A,1,1_7,85,239.657,242.678,3.0209999999999866,25519,B,2,2_12,258,724.079,728.382,4.302999999999997,25692,1,5,ADJ,2,2,"['vierkant', 'vierkant ervoor']"
45,vierkant,1,B,2,2_12,258,724.079,728.382,4.302999999999997,25692,A,2,2_12,260,732.295,733.507,1.211999999999989,25694,1,5,ADJ,2,2,"['vierkant', 'vierkant ervoor']"
45,spijker,12,B,1,1_4,60,167.992,169.397,1.4050000000000011,25493,A,2,2_5,216,608.376,611.999,3.6230000000000473,25650,1,6,NOUN,1,3,"['spijker', 'de spijker', 'met de spijker']"
45,spijker,12,A,2,2_5,216,608.376,611.999,3.6230000000000473,25650,B,3,3_12,368,985.702,987.265,1.5629999999999882,25802,1,6,NOUN,1,3,"['spijker', 'de spijker', 'met de spijker']"
45,spijker,12,B,3,3_12,368,985.702,987.265,1.5629999999999882,25802,A,4,4_5,403,1087.965,1089.501,1.5360000000000582,25838,1,6,NOUN,1,3,"['spijker', 'de spijker', 'met de spijker']"
