round,trial,director,target,correct_answer,total_duration_seconds,pair,start_time_final,end_time_final
6,6_15,A,12,14,5.293,003,1282100,1287393
6,6_16,B,15,L,7.312,003,1287572,1294884
1,1_1,B,9,L,53.764,005,1000,54764
1,1_2,A,6,9,33.1,005,54964,88064
1,1_3,B,15,B,26.591,005,88243,114834
1,1_4,A,14,16,17.009,005,115033,132042
1,1_5,B,13,M,22.27,005,132214,154484
1,1_6,A,16,3,53.723,005,154667,208390
1,1_7,B,11,I,76.755,005,208564,285319
1,1_8,A,8,13,40.727,005,285498,326225
1,1_9,B,3,D,39.064,005,326400,365464
1,1_10,A,10,10,38.538,005,365651,404189
1,1_11,B,5,P,30.658,005,404368,435026
1,1_12,A,4,11,44.614,005,435212,479826
1,1_13,B,7,K,48.541,005,480001,528542
1,1_14,A,2,15,33.887,005,528726,562613
1,1_15,B,1,G,23.024,005,562806,585830
1,1_16,A,12,12,80.401,005,586026,666427
2,2_1,B,14,P,18.98,005,666613,685593
2,2_2,A,9,8,41.766,005,685780,727546
2,2_3,B,16,N,32.135,005,727733,759868
2,2_4,A,3,9,25.529,005,760061,785590
2,2_5,B,10,E,18.79,005,785783,804573
2,2_6,A,11,6,110.648,005,804767,915415
2,2_7,B,12,L,18.19,005,915596,933786
2,2_8,A,7,13,26.101,005,933979,960080
2,2_9,B,6,A,18.259,005,960269,978528
2,2_10,A,13,7,18.421,005,978718,997139
2,2_11,B,2,F,32.333,005,997334,1029667
2,2_12,A,15,10,27.125,005,1029863,1056988
2,2_13,B,8,G,28.971,005,1057170,1086141
2,2_14,A,1,11,21.234,005,1086328,1107562
2,2_15,B,4,O,27.062,005,1107747,1134809
2,2_16,A,5,12,37.418,005,1135004,1172422
3,3_1,B,9,D,14.917,005,1172604,1187521
3,3_2,A,10,7,19.963,005,1187717,1207680
3,3_3,B,15,K,11.979,005,1207868,1219847
3,3_4,A,12,15,13.351,005,1220028,1233379
3,3_5,B,1,I,12.863,005,1233573,1246436
3,3_6,A,4,10,18.275,005,1246618,1264893
3,3_7,B,7,N,24.693,005,1265084,1289777
3,3_8,A,16,9,17.547,005,1289972,1307519
3,3_9,B,13,M,9.456,005,1307705,1317161
3,3_10,A,2,2,12.883,005,1317346,1330229
3,3_11,B,11,A,24.084,005,1330424,1354508
3,3_12,A,6,12,16.609,005,1354695,1371304
3,3_13,B,5,O,9.422,005,1371493,1380915
3,3_14,A,8,4,16.991,005,1381102,1398093
3,3_15,B,3,E,16.068,005,1398283,1414351
3,3_16,A,14,14,16.253,005,1414531,1430784
4,4_1,B,10,B,13.487,005,1430979,1444466
4,4_2,A,15,3,16.914,005,1444657,1461571
4,4_3,B,6,O,8.954,005,1461755,1470709
4,4_4,A,1,9,56.824,005,1470897,1527721
4,4_5,B,16,L,18,005,1527913,1545913
4,4_6,A,13,5,8.508,005,1546095,1554603
4,4_7,B,12,F,15.963,005,1554786,1570749
4,4_8,A,7,14,14.811,005,1570934,1585745
4,4_9,B,2,H,22.77,005,1585930,1608700
4,4_10,A,9,16,18.169,005,1608883,1627052
4,4_11,B,14,P,11.781,005,1627233,1639014
4,4_12,A,5,1,15.509,005,1639210,1654719
4,4_13,B,8,G,13.419,005,1654907,1668326
4,4_14,A,11,6,28.115,005,1668519,1696634
4,4_15,B,4,K,14.69,005,1696827,1711517
4,4_16,A,3,2,19.124,005,1711706,1730830
5,5_1,B,7,J,10.808,005,1731023,1741831
5,5_2,A,6,15,13.33,005,1742016,1755346
5,5_3,B,11,F,11.304,005,1755528,1766832
5,5_4,A,10,7,14.9,005,1767021,1781921
5,5_5,B,9,P,11.689,005,1782101,1793790
5,5_6,A,4,11,22.351,005,1793978,1816329
5,5_7,B,13,O,8.502,005,1816514,1825016
5,5_8,A,12,5,10.636,005,1825205,1835841
5,5_9,B,1,G,11.345,005,1836031,1847376
5,5_10,A,8,10,15.069,005,1847558,1862627
5,5_11,B,15,I,9.025,005,1862821,1871846
5,5_12,A,14,13,14.876,005,1872029,1886905
5,5_13,B,5,L,11.371,005,1887092,1898463
5,5_14,A,16,8,16.672,005,1898652,1915324
5,5_15,B,3,M,7.498,005,1915517,1923015
5,5_16,A,2,4,11.862,005,1923207,1935069
6,6_1,B,10,L,13.68,005,1935251,1948931
6,6_2,A,11,10,17.02,005,1949113,1966133
6,6_3,B,8,P,11.298,005,1966328,1977626
6,6_4,A,7,16,12.906,005,1977805,1990711
6,6_5,B,4,O,10.174,005,1990899,2001073
6,6_6,A,3,15,7.997,005,2001258,2009255
6,6_7,B,14,F,7.076,005,2009449,2016525
6,6_8,A,13,7,5.202,005,2016705,2021907
6,6_9,B,2,H,11.774,005,2022093,2033867
6,6_10,A,9,14,13.189,005,2034054,2047243
6,6_11,B,6,G,9.092,005,2047432,2056524
6,6_12,A,1,4,15.793,005,2056707,2072500
6,6_13,B,16,E,27.329,005,2072687,2100016
6,6_14,A,5,1,21.966,005,2100195,2122161
6,6_15,B,12,I,10.698,005,2122347,2133045
6,6_16,A,15,3,9.241,005,2133223,2142464
1,1_1,B,9,E,80.118,006,1000,81118
1,1_2,A,6,16,30.734,006,81320,112054
1,1_3,B,15,I,36.347,006,112247,148594
1,1_4,A,14,13,22.056,006,148795,170851
1,1_5,B,13,B,16.489,006,171031,187520
1,1_6,A,16,8,29.442,006,187696,217138
1,1_7,B,11,P,23.942,006,217321,241263
1,1_8,A,8,15,38.47,006,241442,279912
1,1_9,B,3,J,24.162,006,280093,304255
1,1_10,A,10,14,41.165,006,304431,345596
1,1_11,B,5,M,66.167,006,345783,411950
1,1_12,A,4,7,20.786,006,412124,432910
1,1_13,B,7,C,60.311,006,433093,493404
1,1_14,A,2,1,26.094,006,493579,519673
1,1_15,B,1,A,21.668,006,519852,541520
1,1_16,A,12,5,15.209,006,541704,556913
2,2_1,B,14,P,27.382,006,557084,584466
2,2_2,A,9,6,19.809,006,584658,604467
2,2_3,B,16,M,23.495,006,604642,628137
2,2_4,A,3,7,11.06,006,628313,639373
2,2_5,B,10,N,15.169,006,639556,654725
2,2_6,A,11,14,15.185,006,654903,670088
2,2_7,B,12,I,7.664,006,670266,677930
2,2_8,A,7,16,8.633,006,678106,686739
2,2_9,B,6,L,12.562,006,686914,699476
2,2_10,A,13,4,14.426,006,699658,714084
2,2_11,B,2,H,14.538,006,714254,728792
2,2_12,A,15,9,17.015,006,728967,745982
2,2_13,B,8,B,24.117,006,746166,770283
2,2_14,A,1,1,11.511,006,770453,781964
2,2_15,B,4,E,10.671,006,782147,792818
2,2_16,A,5,11,28.356,006,792990,821346
3,3_1,B,9,E,16.363,006,821515,837878
3,3_2,A,10,1,9.716,006,838062,847778
3,3_3,B,15,A,13.42,006,847954,861374
3,3_4,A,12,6,7.579,006,861549,869128
3,3_5,B,1,B,7.394,006,869306,876700
3,3_6,A,4,2,5.885,006,876879,882764
3,3_7,B,7,G,7.377,006,882935,890312
3,3_8,A,16,11,15.756,006,890491,906247
3,3_9,B,13,M,9.932,006,906422,916354
3,3_10,A,2,5,14.35,006,916531,930881
3,3_11,B,11,O,11.956,006,931060,943016
3,3_12,A,6,12,5.829,006,943204,949033
3,3_13,B,5,I,15.859,006,949209,965068
3,3_14,A,8,14,11.055,006,965256,976311
3,3_15,B,3,F,8.524,006,976500,985024
3,3_16,A,14,15,11.683,006,985207,996890
4,4_1,B,10,H,7.013,006,997068,1004081
4,4_2,A,15,13,11.52,006,1004257,1015777
4,4_3,B,6,N,6.676,006,1015967,1022643
4,4_4,A,1,2,6.7,006,1022823,1029523
4,4_5,B,16,K,12.817,006,1029713,1042530
4,4_6,A,13,5,6.932,006,1042707,1049639
4,4_7,B,12,A,6.853,006,1049830,1056683
4,4_8,A,7,3,7.407,006,1056870,1064277
4,4_9,B,2,D,12.461,006,1064460,1076921
4,4_10,A,9,14,12.704,006,1077104,1089808
4,4_11,B,14,M,9.596,006,1089999,1099595
4,4_12,A,5,8,11.517,006,1099774,1111291
4,4_13,B,8,C,11.264,006,1111467,1122731
4,4_14,A,11,6,9.023,006,1122911,1131934
4,4_15,B,4,I,7.645,006,1132119,1139764
4,4_16,A,3,15,6.486,006,1139942,1146428
5,5_1,B,7,J,8.979,006,1146614,1155593
5,5_2,A,6,1,5.089,006,1155772,1160861
5,5_3,B,11,E,6.663,006,1161044,1167707
5,5_4,A,10,2,9.086,006,1167883,1176969
5,5_5,B,9,B,18.594,006,1177158,1195752
5,5_6,A,4,11,4.798,006,1195941,1200739
5,5_7,B,13,D,6.994,006,1200928,1207922
5,5_8,A,12,6,5.514,006,1208101,1213615
5,5_9,B,1,P,7.553,006,1213790,1221343
5,5_10,A,8,15,8.988,006,1221530,1230518
5,5_11,B,15,C,13.013,006,1230704,1243717
5,5_12,A,14,3,8.941,006,1243899,1252840
5,5_13,B,5,I,15.298,006,1253024,1268322
5,5_14,A,16,16,10.795,006,1268504,1279299
5,5_15,B,3,H,7.74,006,1279480,1287220
5,5_16,A,2,8,8.751,006,1287404,1296155
6,6_1,B,10,C,14.329,006,1296345,1310674
6,6_2,A,11,13,8.553,006,1310858,1319411
6,6_3,B,8,E,6.943,006,1319599,1326542
6,6_4,A,7,7,9.763,006,1326721,1336484
6,6_5,B,4,K,6.229,006,1336663,1342892
6,6_6,A,3,14,6.385,006,1343069,1349454
6,6_7,B,14,P,10.489,006,1349641,1360130
6,6_8,A,13,8,8.909,006,1360317,1369226
6,6_9,B,2,A,11.375,006,1369409,1380784
6,6_10,A,9,16,15.658,006,1380969,1396627
6,6_11,B,6,J,5.638,006,1396816,1402454
6,6_12,A,1,11,7.44,006,1402638,1410078
6,6_13,B,16,G,10.267,006,1410261,1420528
6,6_14,A,5,12,11.101,006,1420703,1431804
6,6_15,B,12,N,7.703,006,1431980,1439683
6,6_16,A,15,6,10.113,006,1439870,1449983
1,1_1,B,9,G,46.883,007,1000,47883
1,1_2,A,6,5,154.596,007,48091,202687
1,1_3,B,15,J,35.173,007,202893,238066
1,1_4,A,14,13,23.399,007,238257,261656
1,1_5,B,13,B,15.798,007,261844,277642
1,1_6,A,16,9,66.378,007,277825,344203
1,1_7,B,11,D,33.491,007,344383,377874
1,1_8,A,8,12,37.145,007,378062,415207
1,1_9,B,3,C,14.779,007,415395,430174
1,1_10,A,10,3,32.312,007,430358,462670
1,1_11,B,5,K,180.597,007,462853,643450
1,1_12,A,4,8,22.435,007,643627,666062
1,1_13,B,7,H,18.667,007,666247,684914
1,1_14,A,2,2,23.688,007,685096,708784
1,1_15,B,1,A,19.772,007,708967,728739
1,1_16,A,12,1,16.172,007,728918,745090
2,2_1,B,14,E,19.194,007,745266,764460
2,2_2,A,9,7,22.312,007,764632,786944
2,2_3,B,16,I,34.66,007,787119,821779
2,2_4,A,3,9,8.264,007,821949,830213
2,2_5,B,10,G,6.15,007,830390,836540
2,2_6,A,11,12,25.235,007,836712,861947
2,2_7,B,12,K,9.714,007,862117,871831
2,2_8,A,7,6,10.124,007,872009,882133
2,2_9,B,6,O,21.702,007,882302,904004
2,2_10,A,13,11,16.188,007,904187,920375
2,2_11,B,2,J,17.757,007,920552,938309
2,2_12,A,15,3,13.505,007,938484,951989
2,2_13,B,8,P,13.026,007,952162,965188
2,2_14,A,1,13,11.241,007,965357,976598
2,2_15,B,4,B,6.854,007,976767,983621
2,2_16,A,5,10,26.84,007,983790,1010630
3,3_1,B,9,J,13.998,007,1010797,1024795
3,3_2,A,10,5,6.912,007,1024976,1031888
3,3_3,B,15,D,9.458,007,1032065,1041523
3,3_4,A,12,1,7.192,007,1041690,1048882
